X,Y,Z
52,570,1
61,587,1
76,587,1
40,577,1
31,563,1
23,536,1
25,522,1
13,514,1
49,526,1
41,508,1
19,498,1
29,492,1
39,474,1
53,464,1
52,453,1
40,454,1
25,452,1
19,475,1
15,463,1
74,464,1
11,390,1
14,368,1
16,350,1
28,356,1
21,330,1
4,327,1
36,320,1
51,324,1
61,303,1
65,283,1
51,285,1
37,287,1
17,297,1
52,220,1
44,201,1
34,210,1
26,199,1
22,191,1
6,195,1
18,207,1
5,210,1
68,134,1
52,126,1
32,123,1
34,109,1
17,107,1
10,93,1
42,65,1
39,44,1
42,26,1
41,14,1
62,17,1
53,23,1
49,33,1
60,48,1
72,55,1
81,43,1
84,28,1
95,15,1
102,5,1
113,13,1
110,25,1
96,41,1
86,53,1
105,52,1
96,62,1
96,78,1
78,107,1
110,83,1
120,76,1
113,123,1
113,139,1
114,159,1
100,163,1
93,170,1
93,195,1
100,188,1
113,176,1
104,211,1
119,201,1
110,225,1
94,242,1
66,267,1
79,267,1
81,291,1
96,296,1
144,256,1
150,241,1
165,224,1
138,225,1
123,233,1
121,257,1
147,271,1
161,262,1
178,251,1
189,236,1
184,202,1
180,216,1
167,207,1
145,212,1
143,195,1
163,195,1
173,190,1
183,172,1
175,164,1
157,181,1
196,183,1
228,191,1
228,128,1
208,112,1
196,121,1
186,101,1
173,58,1
183,49,1
182,29,1
186,5,1
207,14,1
221,2,1
235,16,1
236,3,1
216,57,1
202,52,1
242,41,1
248,30,1
263,40,1
275,35,1
288,28,1
275,54,1
255,57,1
257,66,1
235,64,1
235,76,1
264,102,1
272,94,1
286,84,1
272,78,1
288,63,1
299,78,1
302,99,1
290,98,1
292,114,1
283,115,1
270,119,1
287,126,1
251,142,1
218,157,1
210,173,1
215,216,1
230,212,1
243,215,1
236,228,1
214,244,1
201,249,1
219,256,1
180,281,1
164,284,1
164,297,1
143,301,1
154,314,1
130,310,1
113,314,1
113,322,1
121,330,1
170,312,1
180,304,1
192,286,1
200,301,1
191,313,1
198,328,1
203,342,1
183,356,1
175,372,1
187,372,1
201,361,1
188,385,1
160,340,1
106,372,1
125,377,1
144,385,1
125,388,1
131,400,1
112,402,1
104,448,1
106,434,1
128,434,1
124,417,1
150,419,1
159,402,1
180,424,1
161,430,1
154,432,1
146,444,1
133,447,1
128,463,1
131,479,1
144,462,1
163,463,1
172,468,1
164,445,1
179,443,1
178,456,1
165,480,1
150,477,1
146,487,1
136,493,1
131,508,1
148,500,1
160,501,1
186,495,1
181,484,1
176,563,1
178,578,1
162,564,1
149,571,1
154,584,1
141,564,1
223,586,1
239,595,1
253,560,1
249,548,1
243,533,1
228,531,1
238,515,1
229,496,1
249,508,1
257,500,1
252,482,1
270,485,1
268,470,1
280,471,1
263,457,1
279,455,1
296,456,1
283,483,1
271,497,1
277,503,1
267,509,1
255,523,1
269,526,1
287,518,1
266,534,1
264,546,1
299,550,1
297,533,1
301,514,1
301,493,1
281,592,1
300,595,1
306,576,1
317,592,1
330,595,1
324,576,1
326,558,1
340,553,1
335,535,1
340,519,1
355,527,1
355,574,1
380,577,1
379,592,1
393,581,1
434,592,1
463,584,1
454,567,1
446,557,1
429,536,1
429,548,1
424,526,1
406,541,1
391,548,1
386,536,1
370,522,1
388,519,1
403,513,1
381,507,1
366,507,1
351,505,1
343,479,1
367,466,1
359,445,1
373,441,1
377,432,1
369,416,1
380,404,1
381,417,1
391,422,1
397,415,1
394,402,1
412,401,1
417,420,1
441,406,1
448,395,1
459,408,1
469,415,1
482,406,1
504,403,1
494,386,1
511,390,1
510,418,1
485,415,1
477,425,1
475,442,1
485,457,1
498,460,1
519,472,1
456,427,1
439,420,1
426,430,1
441,440,1
398,432,1
415,440,1
425,452,1
437,460,1
451,461,1
469,466,1
469,482,1
454,485,1
440,485,1
410,474,1
400,469,1
388,452,1
385,477,1
400,482,1
400,493,1
378,490,1
365,484,1
423,487,1
430,471,1
456,516,1
453,532,1
443,538,1
468,536,1
466,551,1
477,559,1
493,554,1
495,542,1
487,531,1
489,567,1
490,580,1
475,574,1
498,590,1
509,590,1
523,585,1
518,569,1
553,556,1
573,556,1
607,574,1
628,579,1
600,585,1
583,594,1
555,584,1
578,569,1
533,566,1
558,566,1
548,566,1
540,584,1
539,595,1
558,598,1
619,592,1
607,595,1
660,587,1
679,590,1
692,594,1
717,561,1
702,562,1
677,559,1
655,556,1
644,550,1
663,539,1
681,537,1
692,544,1
702,546,1
703,524,1
689,528,1
674,512,1
663,511,1
647,498,1
645,512,1
613,494,1
603,506,1
593,511,1
590,499,1
605,491,1
576,501,1
578,513,1
587,529,1
603,529,1
615,539,1
624,541,1
667,479,1
667,464,1
655,456,1
650,437,1
641,446,1
627,453,1
605,444,1
611,453,1
605,465,1
648,485,1
632,473,1
640,465,1
684,502,1
697,501,1
636,427,1
626,427,1
613,430,1
622,408,1
575,419,1
571,430,1
564,441,1
550,442,1
574,451,1
594,445,1
592,476,1
580,475,1
562,478,1
565,486,1
548,499,1
561,519,1
587,393,1
556,416,1
544,399,1
536,362,1
560,362,1
653,301,1
665,301,1
643,316,1
752,293,1
771,301,1
783,293,1
780,278,1
788,269,1
773,265,1
755,268,1
737,531,1
746,30,1
726,35,1
734,68,1
697,46,1
685,56,1
695,76,1
708,67,1
747,150,1
603,177,1
684,138,1
679,26,1
656,26,1
655,7,1
647,15,1
637,27,1
629,16,1
621,35,1
599,41,1
572,24,1
551,19,1
540,48,1
542,64,1
573,69,1
584,77,1
591,85,1
598,57,1
581,52,1
576,102,1
563,128,1
580,126,1
558,154,1
548,157,1
528,165,1
540,173,1
532,181,1
549,193,1
570,199,1
571,254,1
594,262,1
576,277,1
548,275,1
550,257,1
540,236,1
514,249,1
496,265,1
479,254,1
479,267,1
465,274,1
482,278,1
494,286,1
475,292,1
493,306,1
474,310,1
470,329,1
493,339,1
478,337,1
504,325,1
483,324,1
460,324,1
523,336,1
518,351,1
445,360,1
421,356,1
405,354,1
398,338,1
397,325,1
411,311,1
373,310,1
376,327,1
359,327,1
386,335,1
379,348,1
390,364,1
409,372,1
356,352,1
356,371,1
355,405,1
348,414,1
338,401,1
326,424,1
319,442,1
312,419,1
300,432,1
289,419,1
268,427,1
241,413,1
231,427,1
216,427,1
218,437,1
203,434,1
212,408,1
232,401,1
212,390,1
219,374,1
237,385,1
245,372,1
244,340,1
217,329,1
234,329,1
235,313,1
219,314,1
217,307,1
236,301,1
243,290,1
263,285,1
259,295,1
252,309,1
244,329,1
256,330,1
256,343,1
272,337,1
285,340,1
296,349,1
285,357,1
273,368,1
285,390,1
299,392,1
299,403,1
323,370,1
337,358,1
341,318,1
321,310,1
309,317,1
296,329,1
285,325,1
270,319,1
270,301,1
285,308,1
293,302,1
307,303,1
289,286,1
243,273,1
245,253,1
262,251,1
278,240,1
276,212,1
257,201,1
272,189,1
278,173,1
291,158,1
308,165,1
297,144,1
239,175,1
246,195,1
123,28,1
121,51,1
338,146,1
333,162,1
323,182,1
311,185,1
292,195,1
301,213,1
299,228,1
323,238,1
312,244,1
334,259,1
332,272,1
313,281,1
365,275,1
374,261,1
366,236,1
354,247,1
322,214,1
335,217,1
335,230,1
354,219,1
308,201,1
348,179,1
343,191,1
346,208,1
360,196,1
369,209,1
372,182,1
358,162,1
377,153,1
364,141,1
388,162,1
393,182,1
378,191,1
385,203,1
401,203,1
414,203,1
430,209,1
448,191,1
464,201,1
452,207,1
473,217,1
467,238,1
459,257,1
446,264,1
427,260,1
424,241,1
448,246,1
451,236,1
441,220,1
436,229,1
418,225,1
396,217,1
412,215,1
458,151,1
464,139,1
416,130,1
418,149,1
401,139,1
388,127,1
366,112,1
322,104,1
334,96,1
328,74,1
317,61,1
323,54,1
320,41,1
335,36,1
320,26,1
321,10,1
373,16,1
389,7,1
396,24,1
404,45,1
404,61,1
392,42,1
376,29,1
382,58,1
380,76,1
366,73,1
356,65,1
348,80,1
411,80,1
422,92,1
401,92,1
411,102,1
469,105,1
472,123,1
484,138,1
491,155,1
511,163,1
521,179,1
503,183,1
516,198,1
781,191,1
758,188,1
520,35,1
474,40,1
471,53,1
508,107,1
485,97,1
485,107,1
489,128,1
423,69,1
