X,Y,Z
19,7,1
37,11,1
18,31,1
22,43,1
36,42,1
35,57,1
43,62,1
29,69,1
9,73,1
8,86,1
25,83,1
31,94,1
64,68,1
70,55,1
68,92,1
65,107,1
48,110,1
73,115,1
43,133,1
37,147,1
89,136,1
94,157,1
77,150,1
81,167,1
85,186,1
102,189,1
112,176,1
125,173,1
115,200,1
127,218,1
107,209,1
106,228,1
91,217,1
94,233,1
86,246,1
106,243,1
116,238,1
125,243,1
87,259,1
49,262,1
50,282,1
23,270,1
6,267,1
2,288,1
13,285,1
13,298,1
39,292,1
53,306,1
59,295,1
69,314,1
64,322,1
63,338,1
78,348,1
50,362,1
62,380,1
49,379,1
37,375,1
19,367,1
7,357,1
3,370,1
13,377,1
2,388,1
11,393,1
24,387,1
36,390,1
88,375,1
97,392,1
81,309,1
91,300,1
112,298,1
124,306,1
128,283,1
134,260,1
149,247,1
150,262,1
140,275,1
146,291,1
162,263,1
182,268,1
193,280,1
170,283,1
177,294,1
158,309,1
147,321,1
173,316,1
194,303,1
147,353,1
162,354,1
167,365,1
99,451,1
125,457,1
137,472,1
102,470,1
91,459,1
118,484,1
108,493,1
84,494,1
80,510,1
101,527,1
136,489,1
144,483,1
149,494,1
165,497,1
178,488,1
134,529,1
141,521,1
147,529,1
111,516,1
179,532,1
162,522,1
149,509,1
175,516,1
125,563,1
109,556,1
111,571,1
126,578,1
116,587,1
132,595,1
102,585,1
83,570,1
167,574,1
188,566,1
170,558,1
201,550,1
171,596,1
149,594,1
159,586,1
141,577,1
152,563,1
200,529,1
187,501,1
212,503,1
212,519,1
220,529,1
228,514,1
236,520,1
242,500,1
235,482,1
248,515,1
268,517,1
296,524,1
271,553,1
298,550,1
308,556,1
287,566,1
283,582,1
293,595,1
300,592,1
278,597,1
263,594,1
296,577,1
306,574,1
320,568,1
322,582,1
338,572,1
336,583,1
148,168,1
169,153,1
168,181,1
175,167,1
201,178,1
213,181,1
233,170,1
235,148,1
224,192,1
241,199,1
232,212,1
249,215,1
123,67,1
141,61,1
134,79,1
145,73,1
157,87,1
185,10,1
202,5,1
215,13,1
230,4,1
259,7,1
267,13,1
282,23,1
285,11,1
295,18,1
301,5,1
204,31,1
198,44,1
207,62,1
241,69,1
308,97,1
199,436,1
231,441,1
267,449,1
281,450,1
202,325,1
201,343,1
205,356,1
229,299,1
246,312,1
218,318,1
230,378,1
238,371,1
264,318,1
279,310,1
260,275,1
260,289,1
285,278,1
300,271,1
296,290,1
294,306,1
283,336,1
299,338,1
292,343,1
275,378,1
303,417,1
316,408,1
322,419,1
328,428,1
300,438,1
341,415,1
340,403,1
325,399,1
305,395,1
309,309,1
304,320,1
316,326,1
332,322,1
329,312,1
325,340,1
322,348,1
330,358,1
345,358,1
359,367,1
365,354,1
366,340,1
367,327,1
346,331,1
346,311,1
335,302,1
340,289,1
344,277,1
337,250,1
349,253,1
357,245,1
362,258,1
372,243,1
380,230,1
354,215,1
339,212,1
344,230,1
413,191,1
423,219,1
424,239,1
422,248,1
380,246,1
392,264,1
359,286,1
374,278,1
392,281,1
369,299,1
377,304,1
389,318,1
380,321,1
380,337,1
395,296,1
413,272,1
419,295,1
416,326,1
433,315,1
440,308,1
442,286,1
452,273,1
466,283,1
458,295,1
474,299,1
487,305,1
499,316,1
473,314,1
474,326,1
488,322,1
451,331,1
465,346,1
470,359,1
443,358,1
440,337,1
418,348,1
427,363,1
406,360,1
413,364,1
377,367,1
375,379,1
385,375,1
399,382,1
430,380,1
445,390,1
451,377,1
455,361,1
355,488,1
372,490,1
359,503,1
375,500,1
410,499,1
403,516,1
390,525,1
377,529,1
388,542,1
376,552,1
379,565,1
414,532,1
418,544,1
433,534,1
418,575,1
453,573,1
466,542,1
507,523,1
496,586,1
544,562,1
551,548,1
557,559,1
561,574,1
571,550,1
591,556,1
599,542,1
610,540,1
630,532,1
633,558,1
626,574,1
644,568,1
611,566,1
600,561,1
592,572,1
609,577,1
605,584,1
603,593,1
590,588,1
574,579,1
628,596,1
692,566,1
681,593,1
692,582,1
712,589,1
745,491,1
737,498,1
702,538,1
715,532,1
529,325,1
504,341,1
516,352,1
534,343,1
510,361,1
502,367,1
510,385,1
506,399,1
521,390,1
520,376,1
529,382,1
546,387,1
540,398,1
532,415,1
542,419,1
540,432,1
558,420,1
553,434,1
566,430,1
576,421,1
556,402,1
563,396,1
579,400,1
598,391,1
605,375,1
591,365,1
582,358,1
564,350,1
550,337,1
550,351,1
553,364,1
567,361,1
570,376,1
579,372,1
576,383,1
554,375,1
617,412,1
647,445,1
663,447,1
667,461,1
654,461,1
389,94,1
381,78,1
380,60,1
398,65,1
409,55,1
474,3,1
462,13,1
450,26,1
453,3,1
443,15,1
435,26,1
451,37,1
463,53,1
432,44,1
469,43,1
472,30,1
478,15,1
490,33,1
499,13,1
512,4,1
528,6,1
545,7,1
529,23,1
515,13,1
503,36,1
528,36,1
539,42,1
542,63,1
556,57,1
558,76,1
540,86,1
519,58,1
513,65,1
503,57,1
508,77,1
491,70,1
475,67,1
477,86,1
494,88,1
484,104,1
457,112,1
487,123,1
472,132,1
476,150,1
479,168,1
487,162,1
487,150,1
495,194,1
502,230,1
516,262,1
516,277,1
501,268,1
500,284,1
518,310,1
519,301,1
532,300,1
540,289,1
552,275,1
559,264,1
556,292,1
563,301,1
550,256,1
540,251,1
527,241,1
544,236,1
535,221,1
544,207,1
557,221,1
567,241,1
513,155,1
527,160,1
535,142,1
516,114,1
533,118,1
541,123,1
576,88,1
560,105,1
579,107,1
605,89,1
612,95,1
617,107,1
577,20,1
616,4,1
631,11,1
652,2,1
627,46,1
640,54,1
655,57,1
656,46,1
704,6,1
744,10,1
763,4,1
766,23,1
773,11,1
789,21,1
795,7,1
795,34,1
781,38,1
789,82,1
719,103,1
767,130,1
647,128,1
637,141,1
625,141,1
558,156,1
577,205,1
598,222,1
632,203,1
643,215,1
643,159,1
650,148,1
680,155,1
696,160,1
676,165,1
689,173,1
680,184,1
689,194,1
694,212,1
698,230,1
750,160,1
771,163,1
756,179,1
782,178,1
797,187,1
787,191,1
773,195,1
789,207,1
776,215,1
790,226,1
797,216,1
781,243,1
798,251,1
785,262,1
794,278,1
798,291,1
790,294,1
797,303,1
794,316,1
792,435,1
779,427,1
771,438,1
750,430,1
762,417,1
768,403,1
750,404,1
746,417,1
738,428,1
729,419,1
733,409,1
714,401,1
704,403,1
695,411,1
688,403,1
667,406,1
681,423,1
710,418,1
797,398,1
794,415,1
726,327,1
705,334,1
684,338,1
676,374,1
667,380,1
653,309,1
697,281,1
713,262,1
705,249,1
729,248,1
750,248,1
694,256,1
679,235,1
663,232,1
658,243,1
655,257,1
672,255,1
645,260,1
683,143,1
628,437,1
118,541,1
94,542,1
72,556,1
77,538,1
72,525,1
89,521,1
13,51,1
312,434,1
