X,Y,Z
324,584,1
319,572,1
299,576,1
306,567,1
299,561,1
320,564,1
329,569,1
333,583,1
348,584,1
364,585,1
372,572,1
362,561,1
351,555,1
340,563,1
330,558,1
340,548,1
350,544,1
341,533,1
330,543,1
314,548,1
323,537,1
316,528,1
340,521,1
335,508,1
385,571,1
398,566,1
390,556,1
403,551,1
430,540,1
445,532,1
454,523,1
361,546,1
392,542,1
378,550,1
368,532,1
349,527,1
359,491,1
385,520,1
401,513,1
417,529,1
434,524,1
447,520,1
431,514,1
360,514,1
385,489,1
372,485,1
393,479,1
359,461,1
352,474,1
347,485,1
346,500,1
372,448,1
380,459,1
390,470,1
443,498,1
459,487,1
461,498,1
458,469,1
407,391,1
427,388,1
441,359,1
449,354,1
387,380,1
394,354,1
390,367,1
398,403,1
376,393,1
365,387,1
351,386,1
354,435,1
340,436,1
351,454,1
338,455,1
407,510,1
406,491,1
419,495,1
448,459,1
433,426,1
417,430,1
403,436,1
410,414,1
391,419,1
382,414,1
462,409,1
453,427,1
443,391,1
479,382,1
454,338,1
472,339,1
464,322,1
447,325,1
443,342,1
416,359,1
354,362,1
338,342,1
329,334,1
313,335,1
319,362,1
329,357,1
343,382,1
324,382,1
336,402,1
296,396,1
343,418,1
365,407,1
365,429,1
375,435,1
431,461,1
427,477,1
424,449,1
380,314,1
386,301,1
376,289,1
376,302,1
356,301,1
336,299,1
351,314,1
356,323,1
375,340,1
393,334,1
308,406,1
462,377,1
466,357,1
451,375,1
408,325,1
440,291,1
417,288,1
272,314,1
256,321,1
304,546,1
428,403,1
378,355,1
352,335,1
321,435,1
301,427,1
482,399,1
459,310,1
325,288,1
308,284,1
318,401,1
420,336,1
326,419,1
407,377,1
445,487,1
386,445,1
482,367,1
245,367,1
283,335,1
264,372,1
303,294,1
283,286,1
275,282,1
230,333,1
215,345,1
225,359,1
283,409,1
291,370,1
367,498,1
270,405,1
423,322,1
410,280,1
322,322,1
303,304,1
314,424,1
380,474,1
411,545,1
463,437,1
357,418,1
369,371,1
396,316,1
400,305,1
283,301,1
313,352,1
309,383,1
307,364,1
370,507,1
444,450,1
490,382,1
474,420,1
468,393,1
431,305,1
338,319,1
267,420,1
329,528,1
292,282,1
413,304,1
416,382,1
289,385,1
409,452,1
254,296,1
268,293,1
275,380,1
403,461,1
396,411,1
348,576,1
340,444,1
298,275,1
445,512,1
417,508,1
342,588,1
277,394,1
262,396,1
330,307,1
230,299,1
