X,Y,Z
28,59,1
7,110,1
17,173,1
16,205,1
7,216,1
16,233,1
39,228,1
7,242,1
11,263,1
13,286,1
39,264,1
41,283,1
68,286,1
55,325,1
19,332,1
19,348,1
10,364,1
29,372,1
39,361,1
26,399,1
38,404,1
49,417,1
33,430,1
34,508,1
49,521,1
57,574,1
60,26,1
68,12,1
76,23,1
94,11,1
103,23,1
123,25,1
134,15,1
107,40,1
91,47,1
102,65,1
121,7,1
33,123,1
50,118,1
63,110,1
75,102,1
81,89,1
93,102,1
112,90,1
102,100,1
84,112,1
95,115,1
110,112,1
122,107,1
76,126,1
86,139,1
94,133,1
108,131,1
128,131,1
96,144,1
117,144,1
137,141,1
149,144,1
159,134,1
164,118,1
163,97,1
178,107,1
191,93,1
162,59,1
150,65,1
181,128,1
183,144,1
174,162,1
164,156,1
157,172,1
123,152,1
104,157,1
97,161,1
84,167,1
80,150,1
83,180,1
86,191,1
78,202,1
97,177,1
118,177,1
136,175,1
133,188,1
126,196,1
98,190,1
107,201,1
137,203,1
146,194,1
115,216,1
98,214,1
87,211,1
86,229,1
68,232,1
79,254,1
94,272,1
100,254,1
98,241,1
103,229,1
115,233,1
123,246,1
111,246,1
115,265,1
106,275,1
120,281,1
130,276,1
117,299,1
121,316,1
133,304,1
149,290,1
148,269,1
136,257,1
138,242,1
152,253,1
151,236,1
162,239,1
163,229,1
158,209,1
170,215,1
147,220,1
185,231,1
219,228,1
229,246,1
235,266,1
199,240,1
215,252,1
218,264,1
224,275,1
188,247,1
182,267,1
168,259,1
160,273,1
173,273,1
208,276,1
196,286,1
206,296,1
220,296,1
170,286,1
157,303,1
146,303,1
139,320,1
151,314,1
162,314,1
154,330,1
148,339,1
137,349,1
133,336,1
164,357,1
164,371,1
154,370,1
166,382,1
183,363,1
113,393,1
106,376,1
114,364,1
114,343,1
104,346,1
100,330,1
88,322,1
104,324,1
74,409,1
93,413,1
77,428,1
91,435,1
99,438,1
117,440,1
81,446,1
96,453,1
111,458,1
134,460,1
151,455,1
79,461,1
105,469,1
123,470,1
143,474,1
160,472,1
91,480,1
101,480,1
115,487,1
123,487,1
140,493,1
148,493,1
118,498,1
131,503,1
102,502,1
91,498,1
85,513,1
89,526,1
98,518,1
111,525,1
115,511,1
128,515,1
144,514,1
157,503,1
163,483,1
168,495,1
180,482,1
199,490,1
207,463,1
217,469,1
213,482,1
226,487,1
232,477,1
243,483,1
251,469,1
257,482,1
246,493,1
239,504,1
261,497,1
267,513,1
259,534,1
248,524,1
231,521,1
217,529,1
201,529,1
198,512,1
209,501,1
187,501,1
176,515,1
155,516,1
167,525,1
175,531,1
188,523,1
161,537,1
151,532,1
136,526,1
123,533,1
131,539,1
132,557,1
115,545,1
109,561,1
94,567,1
110,576,1
96,586,1
115,594,1
120,581,1
120,569,1
139,571,1
147,585,1
136,582,1
126,594,1
152,568,1
152,553,1
167,557,1
178,551,1
187,539,1
199,545,1
188,558,1
170,568,1
162,585,1
173,590,1
188,587,1
207,579,1
215,597,1
223,581,1
221,564,1
217,553,1
212,545,1
201,560,1
227,547,1
245,548,1
243,558,1
257,556,1
269,563,1
271,556,1
260,523,1
205,409,1
224,411,1
243,423,1
257,436,1
206,334,1
206,357,1
206,370,1
218,361,1
224,380,1
229,347,1
232,358,1
234,369,1
242,390,1
245,407,1
261,415,1
272,427,1
283,424,1
293,429,1
278,438,1
263,451,1
270,464,1
288,449,1
305,455,1
296,465,1
300,482,1
307,501,1
288,501,1
299,516,1
335,506,1
359,521,1
359,544,1
351,556,1
339,570,1
346,586,1
363,585,1
358,595,1
363,566,1
375,566,1
377,545,1
387,548,1
393,556,1
369,548,1
388,575,1
400,584,1
376,580,1
384,588,1
377,593,1
384,532,1
376,529,1
385,516,1
394,524,1
401,502,1
374,501,1
354,497,1
356,476,1
342,464,1
349,451,1
367,456,1
382,456,1
389,470,1
375,481,1
396,487,1
412,467,1
417,514,1
431,514,1
429,529,1
416,540,1
415,547,1
401,542,1
430,548,1
412,564,1
430,563,1
430,587,1
442,569,1
446,556,1
443,542,1
443,527,1
443,513,1
440,503,1
455,511,1
477,512,1
470,524,1
460,533,1
483,531,1
470,543,1
455,542,1
496,537,1
497,561,1
506,553,1
481,554,1
490,572,1
510,575,1
525,585,1
456,569,1
515,566,1
525,571,1
519,559,1
514,543,1
529,542,1
534,530,1
516,527,1
548,548,1
548,561,1
540,569,1
532,558,1
548,587,1
589,573,1
586,529,1
589,509,1
574,518,1
566,506,1
552,514,1
527,513,1
527,498,1
543,497,1
536,478,1
535,461,1
548,468,1
562,458,1
555,477,1
575,494,1
587,497,1
595,479,1
640,491,1
640,505,1
648,495,1
671,513,1
657,534,1
639,540,1
639,557,1
623,558,1
658,558,1
724,591,1
690,587,1
719,572,1
756,587,1
768,586,1
788,584,1
768,595,1
764,572,1
778,556,1
778,571,1
786,537,1
795,525,1
783,519,1
774,528,1
771,517,1
757,505,1
742,507,1
774,496,1
782,485,1
797,483,1
795,470,1
773,452,1
789,443,1
720,477,1
710,482,1
710,496,1
673,486,1
674,472,1
701,466,1
685,449,1
701,446,1
710,433,1
710,423,1
729,422,1
723,406,1
755,411,1
744,403,1
734,432,1
724,440,1
665,422,1
664,448,1
649,450,1
646,466,1
637,444,1
605,459,1
583,453,1
592,445,1
608,436,1
622,447,1
625,435,1
637,432,1
652,416,1
622,401,1
640,406,1
624,416,1
650,396,1
658,406,1
616,377,1
611,357,1
610,343,1
629,372,1
619,347,1
672,351,1
681,340,1
671,340,1
661,327,1
647,327,1
639,333,1
662,310,1
650,310,1
650,301,1
644,291,1
631,305,1
685,310,1
676,325,1
649,348,1
642,385,1
657,360,1
551,405,1
536,403,1
521,403,1
529,391,1
513,378,1
492,359,1
496,345,1
498,326,1
527,361,1
527,375,1
505,390,1
500,381,1
479,372,1
470,389,1
472,403,1
485,411,1
498,424,1
517,422,1
487,447,1
493,466,1
486,480,1
472,489,1
461,494,1
463,469,1
475,469,1
469,447,1
456,440,1
447,453,1
427,447,1
439,432,1
453,425,1
465,415,1
451,387,1
435,397,1
432,376,1
436,360,1
448,343,1
460,355,1
462,327,1
425,417,1
425,428,1
413,442,1
396,430,1
387,417,1
380,437,1
359,430,1
369,420,1
351,412,1
340,420,1
302,415,1
286,409,1
275,409,1
260,395,1
256,382,1
272,383,1
284,389,1
293,391,1
309,395,1
322,383,1
327,369,1
333,357,1
340,340,1
359,338,1
320,347,1
296,338,1
282,324,1
305,320,1
317,336,1
309,346,1
312,372,1
293,375,1
292,361,1
282,352,1
283,373,1
248,362,1
242,346,1
242,331,1
238,316,1
260,324,1
257,340,1
276,340,1
281,308,1
270,314,1
297,303,1
311,302,1
328,293,1
317,280,1
305,280,1
296,264,1
309,262,1
322,263,1
332,273,1
360,290,1
350,266,1
365,272,1
379,278,1
377,264,1
367,254,1
372,245,1
393,254,1
412,251,1
431,244,1
403,236,1
390,229,1
394,212,1
374,206,1
357,209,1
354,223,1
353,235,1
348,205,1
335,203,1
308,238,1
303,251,1
322,249,1
291,227,1
295,216,1
309,222,1
288,241,1
270,227,1
270,242,1
404,307,1
411,290,1
411,330,1
411,351,1
407,364,1
422,378,1
420,397,1
403,397,1
403,386,1
393,397,1
374,396,1
372,372,1
376,362,1
359,364,1
353,376,1
427,340,1
444,333,1
514,353,1
514,331,1
527,339,1
451,312,1
428,320,1
435,311,1
427,302,1
447,293,1
462,300,1
438,280,1
428,279,1
427,263,1
448,272,1
460,282,1
426,229,1
322,225,1
385,195,1
369,183,1
350,189,1
328,183,1
322,168,1
345,171,1
347,160,1
364,168,1
382,162,1
324,144,1
307,163,1
285,168,1
276,176,1
265,170,1
250,171,1
250,181,1
240,188,1
226,187,1
201,175,1
215,173,1
222,162,1
241,167,1
232,152,1
230,139,1
214,148,1
241,146,1
259,141,1
278,157,1
295,143,1
278,135,1
275,118,1
256,122,1
238,129,1
229,122,1
241,112,1
229,99,1
244,94,1
238,78,1
257,83,1
256,101,1
272,92,1
270,78,1
278,105,1
288,110,1
292,126,1
304,104,1
304,123,1
306,139,1
313,152,1
320,124,1
330,124,1
353,120,1
360,107,1
345,107,1
329,107,1
320,96,1
343,96,1
361,89,1
345,75,1
333,78,1
312,83,1
301,93,1
283,84,1
295,78,1
316,64,1
331,66,1
766,315,1
772,300,1
774,288,1
731,393,1
684,296,1
668,297,1
229,60,1
199,36,1
183,20,1
177,4,1
192,6,1
219,10,1
249,23,1
262,7,1
285,15,1
296,17,1
285,33,1
330,25,1
322,7,1
361,13,1
372,18,1
382,11,1
385,25,1
388,47,1
383,55,1
397,55,1
388,69,1
398,32,1
416,43,1
422,35,1
438,22,1
436,7,1
423,21,1
436,41,1
430,50,1
419,62,1
437,62,1
432,72,1
438,86,1
442,104,1
442,115,1
417,120,1
470,89,1
466,99,1
451,97,1
455,110,1
459,78,1
448,12,1
463,25,1
473,32,1
475,18,1
487,29,1
495,15,1
491,3,1
517,7,1
532,22,1
524,34,1
521,41,1
522,60,1
540,58,1
540,78,1
508,89,1
492,99,1
482,108,1
470,119,1
470,131,1
488,128,1
508,130,1
504,137,1
523,120,1
508,115,1
521,104,1
527,134,1
527,148,1
513,147,1
545,142,1
547,155,1
560,155,1
567,144,1
579,149,1
594,155,1
578,165,1
576,185,1
561,174,1
598,180,1
616,183,1
611,167,1
618,156,1
620,139,1
610,144,1
598,136,1
590,120,1
593,104,1
590,87,1
576,91,1
562,99,1
561,120,1
545,107,1
547,126,1
568,62,1
558,44,1
546,30,1
558,21,1
571,22,1
550,5,1
588,6,1
591,20,1
589,33,1
574,42,1
601,42,1
590,53,1
609,81,1
620,71,1
622,52,1
622,31,1
620,14,1
603,19,1
607,7,1
628,6,1
642,6,1
642,23,1
657,13,1
650,33,1
636,34,1
637,49,1
637,64,1
640,78,1
621,92,1
611,110,1
616,125,1
627,125,1
629,100,1
638,146,1
642,131,1
660,115,1
663,100,1
675,83,1
653,76,1
653,62,1
668,49,1
666,28,1
680,28,1
688,28,1
701,28,1
676,17,1
691,15,1
