X,Y,Z
31,230,1
7,253,1
65,288,1
72,302,1
79,291,1
81,278,1
90,265,1
74,262,1
67,246,1
67,234,1
69,218,1
81,204,1
99,206,1
94,193,1
109,201,1
116,183,1
124,194,1
134,198,1
124,206,1
117,212,1
97,235,1
84,217,1
110,230,1
127,226,1
90,244,1
78,243,1
123,264,1
110,286,1
115,302,1
120,314,1
131,322,1
131,291,1
110,334,1
97,338,1
78,337,1
94,360,1
81,367,1
73,367,1
63,388,1
71,401,1
84,401,1
102,417,1
55,401,1
44,388,1
38,398,1
40,371,1
19,384,1
7,377,1
2,367,1
19,372,1
20,351,1
33,356,1
31,336,1
18,327,1
12,467,1
3,470,1
6,449,1
29,511,1
61,557,1
68,571,1
65,579,1
52,356,1
53,367,1
68,349,1
43,340,1
77,348,1
152,400,1
172,400,1
157,414,1
170,421,1
163,460,1
125,478,1
109,510,1
110,521,1
123,517,1
134,517,1
134,530,1
151,529,1
164,505,1
175,502,1
192,526,1
206,522,1
196,540,1
183,552,1
170,546,1
171,559,1
176,562,1
170,582,1
162,572,1
154,578,1
152,566,1
154,547,1
157,541,1
162,530,1
140,549,1
143,571,1
130,558,1
114,546,1
114,556,1
117,569,1
124,546,1
223,580,1
255,553,1
182,521,1
164,516,1
233,465,1
275,482,1
288,589,1
264,595,1
301,580,1
306,566,1
299,550,1
319,549,1
331,545,1
334,558,1
343,572,1
353,571,1
364,571,1
345,553,1
356,556,1
367,559,1
377,549,1
405,546,1
390,544,1
401,531,1
418,517,1
423,542,1
380,537,1
381,524,1
376,513,1
361,510,1
365,521,1
359,532,1
343,529,1
332,527,1
306,533,1
309,521,1
320,514,1
321,495,1
337,505,1
345,514,1
348,496,1
341,485,1
330,480,1
319,479,1
360,476,1
349,471,1
360,463,1
374,469,1
385,480,1
353,447,1
354,462,1
340,438,1
345,426,1
330,420,1
304,414,1
287,418,1
322,415,1
342,403,1
348,386,1
364,391,1
391,390,1
411,406,1
387,418,1
382,339,1
262,377,1
255,367,1
243,360,1
248,340,1
231,344,1
231,357,1
222,331,1
215,347,1
209,353,1
203,363,1
221,364,1
230,373,1
241,377,1
230,388,1
233,403,1
222,383,1
207,379,1
213,392,1
220,404,1
187,325,1
188,293,1
204,285,1
225,273,1
321,324,1
363,411,1
465,524,1
478,574,1
464,587,1
450,592,1
436,596,1
524,563,1
537,595,1
558,591,1
475,506,1
477,490,1
477,480,1
482,468,1
491,455,1
506,463,1
505,479,1
489,482,1
495,474,1
514,490,1
519,476,1
491,511,1
522,504,1
528,514,1
537,508,1
536,490,1
532,478,1
529,464,1
542,465,1
551,490,1
556,504,1
567,514,1
586,503,1
596,479,1
597,472,1
605,511,1
615,509,1
624,522,1
624,529,1
645,529,1
662,527,1
653,540,1
663,544,1
666,560,1
671,552,1
688,557,1
703,556,1
697,572,1
688,571,1
662,584,1
766,577,1
674,527,1
724,503,1
744,499,1
747,487,1
747,476,1
763,479,1
773,485,1
789,495,1
778,500,1
758,488,1
767,508,1
779,519,1
