X,Y,Z
196,441,1
201,454,1
181,458,1
212,481,1
246,422,1
280,449,1
319,475,1
332,477,1
351,464,1
363,456,1
417,417,1
432,417,1
339,420,1
328,414,1
312,419,1
326,401,1
344,397,1
264,392,1
244,379,1
259,373,1
274,355,1
398,385,1
387,375,1
377,380,1
369,364,1
361,351,1
380,355,1
398,361,1
378,333,1
351,312,1
358,283,1
327,299,1
321,306,1
437,338,1
440,351,1
452,352,1
452,337,1
463,323,1
445,317,1
434,306,1
414,297,1
412,275,1
420,266,1
431,275,1
442,290,1
445,262,1
443,246,1
457,246,1
466,228,1
472,238,1
481,217,1
455,213,1
474,144,1
472,155,1
463,169,1
451,177,1
463,186,1
477,191,1
493,178,1
517,181,1
520,194,1
513,193,1
538,178,1
497,159,1
509,165,1
520,153,1
503,151,1
488,145,1
503,131,1
515,133,1
