X,Y,Z
558,291,1
559,277,1
575,284,1
559,314,1
589,289,1
599,303,1
602,290,1
612,303,1
600,319,1
664,328,1
662,346,1
641,349,1
645,297,1
667,293,1
657,270,1
667,275,1
677,265,1
683,254,1
680,281,1
691,268,1
703,261,1
677,339,1
691,312,1
708,319,1
711,333,1
701,343,1
670,357,1
674,376,1
660,384,1
662,398,1
674,389,1
682,405,1
691,399,1
691,388,1
704,381,1
714,378,1
725,361,1
727,340,1
704,353,1
688,364,1
683,353,1
734,304,1
752,368,1
738,372,1
733,399,1
721,403,1
695,413,1
679,206,1
679,191,1
687,198,1
601,242,1
591,247,1
589,233,1
594,220,1
606,225,1
576,211,1
573,200,1
562,205,1
553,213,1
545,233,1
530,312,1
525,325,1
520,346,1
557,362,1
573,381,1
579,397,1
596,384,1
604,392,1
486,268,1
497,274,1
499,258,1
500,248,1
491,234,1
474,224,1
469,242,1
468,254,1
471,274,1
467,283,1
476,286,1
489,291,1
501,322,1
495,331,1
523,174,1
544,398,1
539,414,1
530,428,1
559,410,1
550,428,1
543,437,1
539,450,1
543,464,1
557,472,1
572,472,1
557,460,1
575,440,1
591,447,1
603,443,1
622,445,1
618,433,1
642,464,1
622,162,1
642,142,1
652,137,1
677,170,1
684,157,1
701,142,1
722,149,1
722,135,1
782,317,1
795,325,1
783,263,1
406,143,1
438,161,1
462,144,1
470,134,1
449,121,1
449,145,1
433,122,1
422,130,1
387,108,1
403,102,1
419,98,1
428,237,1
415,231,1
411,221,1
422,203,1
444,211,1
388,229,1
381,220,1
413,264,1
405,277,1
409,288,1
398,293,1
404,303,1
392,303,1
386,285,1
479,339,1
470,331,1
468,343,1
465,317,1
474,307,1
456,305,1
453,298,1
437,310,1
448,320,1
443,331,1
412,329,1
405,319,1
420,321,1
395,325,1
381,315,1
380,331,1
377,339,1
388,350,1
411,347,1
433,348,1
430,361,1
443,369,1
459,369,1
458,362,1
474,375,1
463,384,1
448,383,1
451,401,1
470,405,1
466,417,1
461,436,1
484,436,1
477,418,1
489,452,1
498,403,1
426,385,1
421,397,1
410,404,1
412,389,1
404,381,1
405,366,1
417,370,1
435,376,1
392,377,1
471,114,1
483,124,1
488,108,1
481,102,1
477,81,1
462,88,1
459,101,1
455,75,1
437,81,1
437,94,1
435,68,1
391,146,1
372,147,1
366,165,1
353,141,1
354,153,1
359,123,1
362,106,1
559,438,1
553,448,1
578,454,1
603,457,1
585,463,1
597,473,1
590,482,1
608,483,1
612,497,1
626,487,1
629,475,1
615,467,1
628,460,1
654,477,1
653,489,1
526,498,1
512,501,1
515,513,1
503,520,1
486,518,1
468,518,1
459,507,1
450,521,1
442,507,1
449,493,1
449,485,1
461,492,1
481,491,1
469,505,1
478,509,1
490,496,1
502,491,1
567,531,1
571,544,1
567,516,1
559,516,1
620,516,1
622,532,1
630,539,1
664,456,1
425,467,1
413,456,1
403,464,1
407,477,1
