X,Y,Z
756,563,1
727,556,1
726,540,1
681,548,1
689,538,1
696,551,1
688,583,1
448,570,1
671,510,1
676,497,1
680,488,1
670,470,1
666,454,1
670,440,1
738,428,1
724,435,1
712,434,1
708,430,1
686,412,1
690,424,1
765,456,1
752,463,1
739,465,1
742,486,1
750,489,1
758,481,1
742,508,1
611,464,1
609,434,1
626,429,1
587,417,1
583,484,1
594,493,1
590,504,1
606,508,1
505,506,1
513,512,1
522,522,1
523,504,1
538,512,1
544,500,1
554,492,1
565,504,1
556,515,1
535,493,1
709,327,1
714,335,1
711,352,1
759,305,1
778,312,1
788,307,1
650,332,1
659,298,1
672,296,1
610,367,1
614,353,1
592,378,1
594,340,1
578,337,1
562,391,1
547,398,1
536,398,1
531,385,1
520,390,1
506,393,1
514,368,1
530,375,1
528,360,1
538,350,1
544,362,1
556,344,1
450,490,1
433,462,1
450,467,1
454,439,1
471,444,1
471,455,1
466,465,1
481,457,1
488,460,1
510,450,1
354,515,1
367,474,1
376,472,1
377,460,1
381,481,1
308,496,1
384,406,1
406,382,1
422,372,1
448,348,1
442,372,1
431,381,1
443,383,1
452,391,1
476,386,1
492,375,1
459,360,1
458,370,1
467,375,1
457,384,1
616,292,1
314,381,1
328,385,1
313,399,1
311,414,1
313,428,1
320,418,1
324,432,1
318,440,1
311,447,1
296,430,1
283,430,1
274,429,1
271,447,1
278,452,1
358,364,1
354,348,1
368,345,1
376,352,1
370,330,1
358,321,1
327,321,1
318,317,1
320,334,1
360,299,1
361,310,1
372,304,1
376,296,1
376,281,1
366,279,1
370,270,1
412,223,1
418,304,1
423,296,1
437,297,1
443,302,1
459,297,1
472,300,1
477,317,1
442,287,1
440,273,1
442,263,1
438,245,1
460,260,1
506,270,1
508,229,1
528,216,1
528,205,1
542,210,1
523,250,1
512,244,1
516,262,1
534,260,1
539,268,1
542,252,1
535,244,1
534,232,1
523,235,1
511,217,1
619,115,1
620,130,1
651,106,1
659,98,1
559,112,1
570,83,1
586,75,1
588,86,1
600,84,1
613,82,1
619,74,1
618,62,1
606,68,1
596,67,1
632,54,1
636,46,1
617,24,1
610,37,1
603,31,1
683,26,1
688,16,1
732,32,1
731,23,1
730,8,1
740,10,1
751,4,1
762,4,1
557,187,1
554,194,1
524,156,1
519,146,1
510,136,1
507,146,1
509,158,1
496,164,1
486,144,1
492,154,1
494,133,1
536,151,1
456,180,1
446,176,1
435,179,1
432,204,1
313,228,1
316,234,1
321,226,1
305,241,1
298,234,1
288,227,1
282,245,1
260,244,1
254,300,1
256,290,1
258,278,1
246,277,1
234,268,1
210,257,1
204,250,1
233,294,1
212,274,1
201,267,1
191,267,1
193,274,1
199,283,1
194,294,1
205,296,1
224,303,1
220,279,1
229,314,1
180,368,1
180,357,1
149,352,1
152,339,1
145,324,1
198,324,1
200,340,1
160,357,1
154,364,1
215,312,1
99,230,1
143,224,1
154,219,1
155,251,1
128,256,1
122,271,1
112,279,1
94,280,1
108,303,1
119,297,1
126,286,1
135,281,1
146,292,1
146,272,1
159,272,1
164,280,1
157,289,1
172,313,1
14,406,1
6,401,1
9,393,1
24,396,1
70,426,1
73,435,1
120,446,1
125,456,1
135,459,1
108,458,1
117,110,1
126,101,1
109,127,1
96,122,1
107,173,1
96,183,1
90,176,1
127,150,1
143,130,1
147,142,1
160,128,1
107,138,1
108,154,1
20,341,1
518,49,1
550,44,1
550,34,1
561,35,1
553,17,1
546,4,1
540,22,1
537,28,1
530,6,1
526,17,1
780,122,1
784,132,1
772,127,1
765,138,1
759,131,1
741,167,1
744,158,1
753,153,1
402,160,1
409,169,1
397,149,1
410,152,1
415,159,1
688,223,1
695,207,1
678,236,1
637,246,1
626,260,1
632,263,1
669,214,1
711,179,1
671,168,1
666,174,1
334,198,1
333,182,1
364,250,1
369,257,1
344,255,1
337,260,1
336,273,1
350,277,1
347,266,1
356,260,1
350,236,1
354,222,1
343,218,1
364,222,1
359,210,1
577,130,1
370,404,1
119,161,1
137,109,1
179,32,1
113,99,1
186,332,1
355,200,1
381,210,1
403,182,1
760,228,1
738,184,1
727,174,1
637,84,1
233,223,1
184,133,1
115,203,1
198,313,1
183,299,1
700,233,1
715,251,1
717,233,1
642,227,1
651,234,1
793,122,1
792,110,1
796,99,1
519,27,1
506,2,1
485,2,1
493,6,1
495,19,1
485,13,1
98,154,1
183,316,1
400,193,1
390,193,1
371,193,1
360,182,1
374,177,1
368,164,1
347,158,1
340,164,1
346,190,1
324,210,1
312,185,1
461,201,1
734,138,1
725,138,1
705,163,1
657,255,1
668,245,1
677,251,1
685,197,1
663,204,1
646,193,1
639,209,1
