X,Y,Z
345,209,1
335,212,1
326,201,1
356,213,1
366,226,1
375,193,1
377,160,1
339,234,1
328,225,1
281,201,1
263,187,1
293,125,1
306,119,1
308,127,1
293,45,1
279,44,1
265,41,1
271,28,1
263,19,1
254,27,1
274,14,1
283,30,1
374,58,1
382,46,1
388,36,1
393,66,1
311,54,1
379,97,1
428,52,1
492,95,1
459,126,1
425,144,1
440,176,1
425,181,1
420,188,1
476,212,1
466,201,1
478,195,1
485,189,1
536,244,1
546,248,1
557,256,1
555,276,1
555,283,1
567,294,1
572,311,1
522,333,1
517,345,1
507,340,1
506,330,1
497,347,1
531,348,1
443,349,1
436,339,1
422,329,1
416,334,1
398,337,1
388,336,1
354,407,1
368,446,1
375,465,1
367,488,1
359,498,1
351,488,1
342,498,1
317,511,1
297,527,1
288,543,1
292,553,1
301,548,1
306,559,1
299,577,1
282,552,1
272,546,1
267,555,1
304,535,1
320,588,1
450,593,1
468,591,1
493,575,1
508,577,1
506,588,1
564,588,1
523,541,1
481,550,1
425,511,1
435,502,1
416,480,1
406,473,1
337,553,1
388,560,1
332,510,1
321,499,1
485,458,1
497,458,1
510,464,1
480,422,1
481,293,1
443,236,1
516,257,1
487,146,1
534,158,1
482,52,1
486,42,1
549,93,1
571,126,1
589,60,1
576,45,1
621,23,1
652,64,1
663,59,1
675,70,1
680,83,1
669,85,1
630,118,1
611,168,1
582,207,1
615,244,1
589,341,1
598,347,1
563,408,1
565,480,1
567,550,1
562,536,1
573,527,1
608,463,1
643,426,1
704,425,1
719,431,1
730,431,1
719,445,1
745,432,1
744,424,1
758,420,1
762,478,1
773,495,1
684,391,1
737,384,1
722,350,1
705,351,1
687,342,1
674,343,1
632,354,1
648,300,1
715,292,1
759,267,1
771,266,1
792,334,1
787,340,1
796,203,1
792,212,1
783,206,1
701,181,1
673,193,1
650,159,1
613,96,1
698,88,1
718,99,1
732,66,1
723,60,1
760,26,1
721,3,1
749,149,1
732,118,1
728,231,1
794,123,1
794,226,1
124,212,1
90,161,1
48,198,1
181,188,1
211,132,1
205,108,1
194,92,1
208,85,1
219,90,1
220,76,1
211,67,1
225,65,1
230,75,1
199,75,1
191,69,1
199,57,1
212,51,1
195,39,1
185,50,1
177,60,1
165,53,1
154,65,1
155,51,1
144,62,1
145,76,1
134,87,1
134,95,1
150,97,1
174,98,1
173,83,1
163,98,1
175,33,1
169,23,1
182,18,1
189,26,1
201,15,1
208,26,1
210,33,1
219,18,1
228,19,1
227,28,1
230,40,1
224,50,1
240,55,1
236,66,1
246,62,1
250,44,1
168,7,1
158,14,1
153,30,1
141,28,1
145,43,1
213,6,1
222,587,1
272,208,1
399,257,1
777,181,1
