X,Y,Z
324,209,1
274,193,1
271,181,1
234,179,1
213,174,1
219,161,1
207,156,1
304,459,1
387,370,1
401,374,1
395,386,1
404,403,1
432,355,1
401,256,1
290,275,1
231,288,1
166,361,1
140,424,1
128,439,1
101,437,1
83,398,1
71,388,1
172,427,1
214,484,1
310,515,1
24,558,1
26,575,1
356,367,1
343,355,1
345,337,1
510,370,1
749,368,1
750,313,1
759,305,1
768,212,1
774,227,1
761,194,1
754,173,1
742,179,1
683,228,1
612,255,1
604,176,1
671,163,1
677,120,1
708,105,1
709,87,1
719,85,1
726,93,1
722,99,1
732,79,1
741,94,1
754,74,1
765,64,1
335,212,1
347,213,1
