X,Y,Z
26,285,1
14,303,1
17,366,1
37,394,1
63,379,1
110,377,1
123,387,1
108,398,1
197,481,1
280,546,1
299,532,1
296,483,1
294,470,1
278,427,1
235,418,1
250,377,1
269,371,1
259,363,1
246,352,1
230,346,1
218,340,1
240,338,1
251,327,1
238,322,1
225,321,1
209,73,1
340,25,1
307,103,1
299,181,1
361,180,1
352,293,1
340,333,1
380,440,1
550,466,1
561,509,1
536,570,1
532,583,1
545,584,1
551,565,1
561,549,1
572,530,1
582,520,1
590,511,1
579,546,1
593,529,1
597,540,1
614,545,1
624,532,1
632,533,1
637,519,1
647,506,1
653,516,1
660,491,1
682,515,1
680,503,1
680,488,1
754,529,1
723,492,1
734,487,1
686,462,1
702,438,1
713,437,1
739,436,1
763,435,1
774,448,1
753,414,1
743,405,1
753,391,1
730,372,1
672,403,1
663,390,1
602,367,1
526,373,1
461,160,1
448,79,1
527,8,1
607,122,1
749,147,1
