X,Y,Z
5,479,1
3,495,1
13,500,1
17,487,1
23,478,1
62,481,1
91,470,1
99,361,1
120,361,1
146,356,1
166,394,1
146,430,1
164,430,1
232,453,1
242,463,1
281,477,1
291,503,1
291,519,1
238,378,1
230,281,1
224,241,1
249,203,1
207,163,1
143,233,1
149,245,1
132,254,1
309,323,1
316,328,1
306,364,1
319,367,1
302,378,1
304,390,1
330,345,1
344,346,1
372,217,1
367,340,1
379,456,1
373,477,1
374,489,1
452,450,1
459,440,1
463,401,1
477,411,1
511,410,1
530,398,1
419,309,1
435,288,1
500,247,1
565,173,1
560,94,1
644,236,1
665,243,1
731,262,1
717,254,1
703,253,1
682,260,1
683,277,1
692,291,1
714,348,1
748,388,1
