X,Y,Z
68,141,1
62,184,1
21,299,1
54,449,1
91,413,1
74,319,1
91,314,1
86,325,1
83,347,1
155,317,1
199,305,1
281,468,1
304,477,1
303,463,1
264,584,1
320,462,1
359,449,1
374,502,1
390,485,1
390,470,1
394,456,1
413,456,1
432,527,1
447,526,1
454,560,1
455,595,1
485,545,1
476,541,1
465,535,1
461,514,1
468,522,1
479,511,1
477,492,1
484,485,1
485,500,1
499,495,1
509,500,1
514,514,1
494,514,1
486,528,1
501,533,1
533,466,1
527,457,1
550,454,1
544,426,1
594,422,1
561,400,1
562,369,1
742,316,1
465,323,1
453,291,1
456,270,1
472,283,1
487,276,1
445,252,1
517,199,1
477,165,1
626,89,1
605,34,1
595,13,1
574,10,1
585,3,1
640,98,1
