X,Y,Z
17,496,1
27,491,1
55,511,1
70,479,1
90,466,1
92,481,1
309,475,1
320,470,1
335,469,1
348,484,1
364,482,1
380,479,1
381,466,1
367,467,1
360,466,1
350,468,1
325,457,1
322,446,1
319,435,1
338,456,1
351,453,1
362,455,1
371,456,1
383,450,1
396,444,1
388,428,1
371,443,1
359,445,1
347,426,1
334,427,1
328,417,1
334,407,1
346,414,1
338,396,1
351,393,1
356,406,1
366,429,1
376,418,1
370,403,1
385,401,1
392,409,1
407,406,1
404,394,1
418,390,1
422,405,1
472,438,1
464,422,1
478,424,1
349,369,1
350,354,1
366,340,1
347,223,1
333,219,1
423,372,1
454,372,1
477,390,1
488,364,1
472,361,1
439,333,1
424,312,1
409,322,1
409,310,1
451,329,1
464,335,1
469,321,1
476,304,1
513,327,1
524,314,1
532,304,1
517,306,1
506,316,1
497,327,1
502,336,1
490,348,1
449,314,1
445,299,1
429,290,1
424,278,1
427,262,1
435,257,1
445,268,1
440,244,1
420,249,1
411,237,1
410,209,1
423,196,1
430,204,1
438,192,1
448,208,1
450,191,1
457,220,1
471,238,1
474,249,1
477,263,1
513,235,1
506,221,1
488,237,1
521,264,1
492,277,1
503,283,1
515,280,1
524,211,1
519,188,1
531,194,1
500,186,1
469,222,1
460,204,1
448,242,1
448,227,1
339,353,1
461,297,1
483,295,1
421,212,1
511,251,1
516,337,1
480,205,1
448,342,1
512,201,1
398,304,1
397,424,1
