X,Y,Z
422,112,1
409,114,1
396,113,1
386,116,1
357,154,1
350,164,1
382,191,1
374,199,1
398,188,1
400,176,1
405,216,1
337,228,1
332,232,1
338,237,1
354,249,1
362,238,1
363,245,1
398,295,1
411,294,1
428,296,1
438,291,1
448,300,1
459,298,1
450,272,1
488,266,1
498,264,1
488,276,1
513,260,1
528,259,1
537,261,1
464,313,1
450,317,1
477,296,1
492,287,1
495,300,1
548,274,1
554,286,1
559,306,1
567,325,1
557,323,1
567,315,1
300,244,1
285,247,1
278,240,1
264,238,1
265,222,1
253,237,1
217,211,1
221,232,1
351,101,1
336,98,1
203,138,1
198,157,1
184,153,1
253,152,1
266,144,1
235,270,1
260,301,1
250,301,1
273,294,1
275,274,1
284,310,1
270,313,1
300,300,1
312,307,1
315,323,1
311,339,1
288,322,1
391,362,1
404,361,1
403,377,1
411,387,1
474,415,1
462,398,1
441,416,1
429,410,1
596,337,1
585,336,1
584,326,1
586,312,1
575,310,1
559,336,1
552,339,1
556,350,1
570,341,1
567,356,1
579,358,1
586,349,1
596,355,1
606,365,1
584,384,1
573,379,1
555,377,1
524,428,1
513,430,1
506,412,1
505,444,1
491,450,1
540,447,1
549,457,1
551,447,1
567,480,1
543,493,1
528,480,1
524,491,1
531,510,1
544,516,1
546,508,1
530,525,1
542,528,1
558,530,1
532,593,1
488,340,1
489,325,1
506,331,1
512,346,1
489,354,1
491,347,1
500,346,1
501,377,1
519,379,1
543,386,1
548,391,1
560,398,1
552,408,1
527,397,1
555,424,1
505,362,1
568,293,1
566,282,1
469,264,1
571,447,1
567,457,1
261,286,1
249,284,1
252,272,1
552,584,1
564,512,1
537,394,1
116,96,1
128,111,1
144,108,1
