X,Y,Z
491,38,1
515,141,1
585,81,1
603,79,1
750,364,1
540,294,1
494,350,1
490,220,1
449,172,1
429,184,1
411,164,1
437,228,1
404,567,1
413,557,1
417,545,1
459,494,1
324,561,1
381,573,1
170,586,1
64,594,1
476,515,1
510,543,1
649,135,1
377,495,1
364,494,1
350,491,1
341,507,1
333,497,1
311,480,1
318,475,1
323,466,1
323,450,1
314,446,1
298,451,1
301,459,1
313,433,1
319,436,1
306,418,1
313,418,1
298,394,1
310,405,1
333,479,1
316,386,1
313,359,1
364,255,1
341,268,1
329,256,1
339,254,1
349,245,1
338,238,1
343,203,1
317,222,1
309,237,1
296,231,1
298,220,1
284,223,1
278,212,1
292,206,1
281,194,1
301,195,1
294,258,1
327,400,1
200,230,1
184,247,1
167,252,1
98,284,1
98,272,1
74,264,1
81,255,1
47,242,1
128,201,1
118,192,1
122,179,1
186,179,1
207,176,1
200,184,1
198,164,1
323,170,1
332,153,1
361,149,1
355,136,1
347,120,1
315,70,1
323,35,1
211,59,1
205,98,1
211,115,1
248,147,1
250,135,1
273,117,1
233,128,1
225,230,1
241,230,1
223,266,1
213,259,1
198,249,1
221,288,1
213,279,1
210,289,1
245,349,1
99,231,1
86,223,1
67,120,1
144,135,1
156,210,1
132,222,1
142,174,1
148,108,1
149,118,1
100,60,1
90,51,1
70,47,1
49,33,1
50,19,1
57,21,1
113,37,1
98,25,1
103,8,1
44,7,1
10,9,1
9,27,1
29,84,1
27,94,1
21,97,1
6,83,1
3,64,1
4,91,1
23,210,1
8,197,1
47,177,1
55,169,1
98,220,1
69,5,1
232,251,1
400,29,1
426,125,1
308,262,1
308,314,1
284,285,1
282,298,1
295,299,1
293,306,1
297,284,1
178,286,1
157,314,1
169,309,1
145,89,1
318,204,1
322,194,1
338,429,1
344,447,1
354,435,1
361,450,1
365,468,1
