X,Y,Z
122,115,1
322,292,1
317,275,1
318,253,1
315,239,1
330,238,1
302,261,1
300,277,1
308,288,1
314,300,1
297,317,1
293,293,1
285,272,1
286,261,1
267,270,1
269,286,1
251,288,1
248,274,1
244,262,1
236,270,1
236,290,1
224,293,1
219,309,1
231,318,1
237,304,1
248,316,1
256,298,1
264,306,1
271,315,1
285,326,1
263,358,1
150,288,1
78,326,1
100,233,1
117,218,1
114,208,1
107,201,1
89,197,1
70,203,1
39,192,1
71,144,1
207,73,1
208,54,1
201,148,1
144,202,1
279,176,1
286,171,1
279,163,1
299,162,1
295,145,1
282,135,1
371,208,1
378,297,1
334,365,1
317,379,1
384,399,1
394,407,1
410,415,1
388,367,1
406,390,1
403,375,1
416,385,1
427,393,1
429,381,1
445,386,1
443,400,1
447,406,1
461,406,1
461,398,1
473,390,1
472,378,1
491,390,1
457,374,1
453,364,1
434,368,1
424,368,1
417,360,1
425,352,1
435,346,1
456,340,1
456,332,1
447,329,1
453,317,1
437,320,1
429,306,1
420,321,1
418,331,1
411,345,1
461,354,1
474,363,1
477,354,1
497,345,1
495,364,1
477,339,1
470,324,1
466,308,1
450,299,1
426,292,1
413,290,1
411,272,1
426,272,1
421,261,1
445,276,1
459,267,1
450,257,1
436,253,1
448,243,1
468,244,1
488,277,1
482,290,1
495,296,1
509,299,1
512,290,1
522,295,1
522,308,1
536,309,1
520,322,1
505,329,1
515,341,1
536,326,1
547,334,1
544,315,1
490,315,1
500,274,1
487,259,1
506,260,1
498,247,1
520,265,1
521,245,1
528,275,1
535,260,1
536,290,1
602,326,1
645,364,1
661,366,1
684,362,1
614,420,1
595,408,1
589,491,1
571,499,1
506,490,1
495,498,1
488,511,1
478,496,1
465,521,1
468,538,1
678,511,1
669,522,1
662,509,1
690,456,1
703,425,1
717,427,1
786,401,1
796,423,1
719,222,1
664,261,1
650,249,1
744,506,1
758,521,1
780,545,1
768,587,1
112,372,1
181,427,1
415,438,1
206,489,1
511,361,1
470,282,1
614,289,1
358,175,1
487,230,1
798,481,1
633,289,1
