X,Y,Z
720,80,1
678,137,1
615,59,1
532,115,1
474,197,1
427,261,1
370,249,1
300,201,1
304,208,1
316,212,1
316,194,1
268,199,1
244,199,1
324,188,1
307,183,1
315,51,1
233,71,1
202,94,1
155,176,1
231,255,1
208,318,1
315,300,1
314,366,1
333,448,1
271,475,1
271,457,1
211,400,1
149,313,1
146,327,1
115,319,1
125,301,1
139,288,1
37,390,1
332,529,1
316,555,1
285,582,1
276,595,1
403,442,1
406,454,1
454,429,1
467,431,1
509,399,1
509,384,1
520,382,1
531,376,1
570,283,1
555,307,1
634,349,1
651,336,1
745,380,1
739,397,1
655,402,1
659,431,1
709,488,1
677,538,1
773,508,1
777,465,1
783,317,1
772,253,1
768,587,1
484,510,1
