X,Y,Z
60,540,1
51,535,1
63,528,1
73,520,1
69,538,1
89,530,1
102,533,1
103,548,1
95,518,1
78,555,1
64,552,1
72,563,1
76,575,1
52,593,1
130,584,1
162,566,1
196,540,1
223,589,1
16,498,1
11,451,1
16,436,1
73,431,1
87,443,1
76,447,1
99,428,1
117,439,1
113,451,1
118,461,1
115,476,1
88,458,1
99,465,1
127,480,1
55,359,1
62,348,1
73,357,1
76,340,1
42,346,1
35,327,1
39,314,1
51,337,1
22,330,1
13,314,1
3,325,1
4,336,1
15,264,1
4,261,1
7,199,1
16,190,1
36,208,1
71,225,1
71,209,1
30,191,1
18,180,1
5,176,1
14,157,1
4,152,1
10,148,1
25,164,1
42,140,1
52,122,1
79,143,1
94,149,1
96,160,1
17,120,1
45,69,1
41,57,1
26,53,1
15,53,1
15,41,1
8,30,1
28,39,1
78,54,1
94,41,1
121,55,1
187,6,1
186,45,1
201,60,1
218,64,1
223,50,1
145,89,1
131,89,1
133,102,1
168,130,1
176,141,1
200,145,1
164,154,1
155,167,1
147,178,1
167,167,1
175,181,1
196,181,1
184,192,1
170,206,1
153,203,1
131,202,1
130,188,1
134,178,1
120,196,1
119,205,1
123,215,1
137,219,1
153,218,1
178,216,1
175,235,1
160,228,1
148,233,1
131,248,1
125,241,1
125,234,1
118,228,1
94,231,1
107,241,1
84,238,1
87,256,1
73,273,1
97,285,1
99,266,1
105,275,1
111,285,1
112,270,1
125,265,1
69,248,1
275,60,1
335,23,1
352,21,1
347,31,1
367,28,1
359,36,1
359,47,1
372,42,1
374,54,1
388,37,1
393,15,1
395,7,1
382,3,1
375,12,1
363,7,1
431,36,1
461,18,1
466,9,1
482,13,1
472,25,1
490,27,1
507,21,1
511,36,1
466,38,1
481,44,1
453,39,1
461,48,1
444,49,1
451,60,1
453,78,1
464,83,1
466,68,1
476,73,1
474,56,1
488,57,1
500,77,1
511,105,1
554,86,1
569,86,1
425,110,1
409,114,1
396,106,1
393,89,1
338,88,1
267,110,1
275,129,1
287,118,1
285,134,1
299,140,1
304,124,1
317,120,1
297,157,1
301,168,1
314,168,1
317,148,1
320,136,1
332,139,1
358,139,1
370,136,1
391,127,1
261,189,1
251,201,1
375,191,1
398,207,1
398,199,1
409,197,1
409,207,1
428,201,1
444,196,1
454,175,1
444,210,1
430,216,1
438,228,1
413,234,1
399,231,1
390,223,1
457,222,1
464,210,1
489,199,1
482,216,1
492,226,1
509,225,1
508,241,1
521,248,1
515,201,1
503,196,1
524,190,1
522,180,1
534,167,1
537,160,1
525,158,1
533,146,1
518,149,1
535,127,1
545,147,1
558,147,1
569,146,1
575,137,1
580,141,1
550,159,1
550,172,1
612,83,1
626,85,1
639,80,1
640,68,1
624,65,1
623,53,1
608,58,1
600,43,1
632,42,1
627,16,1
634,23,1
648,39,1
642,52,1
660,39,1
674,47,1
642,102,1
729,7,1
742,3,1
748,16,1
739,28,1
763,13,1
760,33,1
786,37,1
776,33,1
770,44,1
799,44,1
796,16,1
784,17,1
711,83,1
752,73,1
697,84,1
684,105,1
681,117,1
669,105,1
656,115,1
668,123,1
639,123,1
652,133,1
625,135,1
638,139,1
645,149,1
762,123,1
780,123,1
794,138,1
763,194,1
770,202,1
708,170,1
697,165,1
701,176,1
690,170,1
692,191,1
687,215,1
729,212,1
738,228,1
717,215,1
708,222,1
697,228,1
711,238,1
726,234,1
723,245,1
714,249,1
692,243,1
690,256,1
702,257,1
689,280,1
758,320,1
771,320,1
635,314,1
623,306,1
609,314,1
575,315,1
588,319,1
592,330,1
590,343,1
582,330,1
526,317,1
524,330,1
534,335,1
514,329,1
520,344,1
563,285,1
574,261,1
629,231,1
634,228,1
657,230,1
641,238,1
648,256,1
660,252,1
633,186,1
646,180,1
584,186,1
588,200,1
598,207,1
456,259,1
465,305,1
452,317,1
440,317,1
429,307,1
406,288,1
394,270,1
412,301,1
396,299,1
401,313,1
412,313,1
365,286,1
361,238,1
364,222,1
347,236,1
337,225,1
326,234,1
283,257,1
286,270,1
293,285,1
282,285,1
291,294,1
275,299,1
257,296,1
246,293,1
246,277,1
236,281,1
217,274,1
234,299,1
243,306,1
262,285,1
272,278,1
272,268,1
270,254,1
482,350,1
474,367,1
476,389,1
496,393,1
456,451,1
432,437,1
403,402,1
391,388,1
393,362,1
406,343,1
356,353,1
351,369,1
295,382,1
280,368,1
227,340,1
220,351,1
155,323,1
155,411,1
235,356,1
238,377,1
254,367,1
226,369,1
231,382,1
246,389,1
259,388,1
257,403,1
270,427,1
274,442,1
259,428,1
241,432,1
237,419,1
242,402,1
229,393,1
228,411,1
199,394,1
213,393,1
212,406,1
218,420,1
227,426,1
222,437,1
228,446,1
232,467,1
243,477,1
238,494,1
249,490,1
616,588,1
628,579,1
