X,Y,Z
613,50,1
615,38,1
622,45,1
632,33,1
630,22,1
616,22,1
643,24,1
658,22,1
657,32,1
650,113,1
640,136,1
589,137,1
585,84,1
584,67,1
572,66,1
607,167,1
616,176,1
598,177,1
608,188,1
598,201,1
571,203,1
614,223,1
612,206,1
625,202,1
637,214,1
643,198,1
654,195,1
658,209,1
668,200,1
679,218,1
691,227,1
687,240,1
682,252,1
705,241,1
605,252,1
616,306,1
618,318,1
631,311,1
626,296,1
637,289,1
638,298,1
650,292,1
649,304,1
662,279,1
666,298,1
679,304,1
686,294,1
698,291,1
700,284,1
706,276,1
694,279,1
692,270,1
683,272,1
672,273,1
683,281,1
631,328,1
638,347,1
641,361,1
642,371,1
660,366,1
652,384,1
667,398,1
669,410,1
680,398,1
680,411,1
684,384,1
679,422,1
646,427,1
627,463,1
622,469,1
591,442,1
581,442,1
577,450,1
571,437,1
563,443,1
525,457,1
600,526,1
584,513,1
577,514,1
562,526,1
550,527,1
532,542,1
531,552,1
527,566,1
522,569,1
537,574,1
548,570,1
549,560,1
561,581,1
573,583,1
746,306,1
757,234,1
772,248,1
772,260,1
789,267,1
780,342,1
710,435,1
702,418,1
703,406,1
710,398,1
717,388,1
725,401,1
732,411,1
717,411,1
715,420,1
720,435,1
713,488,1
703,490,1
716,505,1
709,552,1
696,559,1
687,536,1
666,562,1
650,557,1
642,555,1
639,565,1
564,16,1
755,422,1
767,429,1
772,419,1
775,445,1
786,473,1
749,539,1
755,522,1
792,538,1
786,527,1
781,540,1
672,340,1
762,175,1
771,161,1
778,176,1
789,179,1
781,189,1
772,197,1
764,188,1
716,150,1
735,155,1
742,142,1
752,138,1
764,128,1
681,328,1
696,331,1
538,305,1
523,276,1
533,265,1
535,283,1
539,347,1
528,340,1
519,333,1
495,184,1
486,169,1
457,162,1
473,144,1
442,223,1
451,213,1
481,233,1
462,281,1
413,271,1
524,383,1
529,375,1
516,354,1
477,306,1
491,299,1
500,286,1
522,292,1
514,288,1
391,377,1
403,394,1
408,405,1
416,396,1
391,423,1
374,472,1
467,465,1
440,463,1
447,481,1
459,476,1
459,487,1
454,501,1
435,516,1
423,527,1
414,523,1
401,529,1
410,507,1
406,488,1
417,488,1
429,482,1
414,501,1
471,555,1
466,569,1
410,222,1
398,224,1
401,213,1
408,205,1
413,192,1
383,174,1
347,152,1
504,151,1
495,145,1
484,132,1
493,129,1
498,117,1
488,111,1
479,112,1
482,95,1
491,88,1
501,98,1
509,77,1
499,76,1
506,63,1
501,51,1
511,41,1
501,35,1
489,40,1
487,54,1
744,165,1
747,71,1
759,70,1
719,65,1
720,49,1
732,57,1
726,41,1
742,48,1
751,49,1
759,39,1
751,30,1
741,32,1
744,21,1
774,33,1
786,28,1
783,6,1
761,18,1
762,6,1
766,12,1
767,58,1
772,50,1
777,69,1
791,58,1
786,110,1
794,118,1
797,128,1
798,103,1
778,100,1
718,12,1
716,22,1
739,88,1
727,93,1
717,103,1
711,82,1
754,87,1
730,126,1
715,124,1
713,110,1
744,117,1
745,104,1
781,127,1
774,120,1
794,42,1
795,71,1
761,112,1
742,129,1
484,11,1
504,12,1
498,19,1
487,23,1
449,28,1
445,15,1
432,13,1
420,19,1
416,32,1
417,49,1
430,39,1
445,81,1
447,93,1
456,80,1
462,89,1
476,82,1
474,50,1
473,33,1
519,58,1
445,50,1
467,60,1
461,15,1
333,67,1
316,63,1
316,76,1
317,88,1
327,83,1
347,74,1
341,86,1
261,105,1
251,111,1
255,126,1
291,50,1
289,39,1
498,400,1
496,389,1
505,377,1
510,389,1
347,235,1
308,251,1
267,263,1
266,276,1
286,279,1
