X,Y,Z
163,135,1
168,104,1
144,97,1
134,108,1
75,91,1
30,42,1
217,67,1
239,73,1
244,90,1
226,89,1
226,89,1
258,121,1
265,145,1
253,138,1
218,130,1
236,147,1
242,160,1
233,169,1
217,159,1
215,145,1
200,162,1
220,174,1
231,181,1
248,180,1
241,193,1
249,201,1
244,224,1
230,209,1
226,194,1
248,249,1
235,238,1
249,236,1
229,247,1
225,260,1
229,273,1
215,269,1
205,256,1
192,256,1
185,265,1
178,255,1
182,243,1
164,229,1
195,212,1
154,177,1
179,203,1
140,270,1
184,278,1
192,290,1
227,336,1
242,331,1
238,347,1
248,317,1
263,336,1
262,318,1
258,309,1
258,286,1
247,279,1
254,267,1
235,260,1
269,290,1
272,274,1
296,226,1
267,179,1
278,191,1
286,176,1
300,187,1
308,177,1
303,165,1
329,174,1
322,162,1
333,186,1
331,199,1
336,217,1
324,230,1
326,247,1
339,242,1
321,262,1
323,275,1
363,304,1
335,319,1
345,322,1
330,337,1
315,352,1
307,361,1
292,362,1
300,374,1
316,367,1
312,383,1
372,347,1
412,78,1
407,122,1
394,131,1
340,128,1
339,146,1
331,156,1
368,146,1
383,155,1
346,156,1
416,167,1
437,178,1
440,95,1
449,85,1
461,99,1
457,112,1
451,120,1
438,123,1
456,127,1
456,142,1
467,131,1
481,133,1
488,113,1
474,112,1
504,112,1
498,124,1
469,67,1
457,42,1
466,34,1
478,34,1
539,52,1
533,62,1
534,76,1
548,72,1
569,62,1
559,13,1
577,88,1
587,104,1
593,55,1
597,39,1
607,16,1
607,26,1
631,21,1
623,32,1
613,38,1
623,48,1
622,62,1
629,57,1
639,71,1
641,97,1
652,105,1
663,107,1
684,121,1
696,116,1
710,119,1
773,140,1
574,158,1
586,154,1
600,150,1
615,154,1
607,170,1
573,181,1
525,161,1
529,177,1
518,187,1
498,178,1
490,200,1
497,227,1
495,213,1
481,206,1
479,220,1
465,224,1
451,218,1
451,236,1
465,243,1
468,269,1
479,254,1
451,261,1
443,249,1
428,293,1
412,277,1
436,281,1
432,261,1
427,245,1
420,255,1
401,235,1
438,213,1
430,201,1
422,197,1
423,183,1
408,187,1
400,170,1
386,168,1
378,177,1
363,167,1
349,170,1
360,181,1
359,219,1
347,228,1
372,230,1
391,222,1
381,201,1
397,199,1
379,213,1
368,199,1
376,187,1
408,223,1
409,204,1
420,212,1
425,226,1
441,230,1
413,241,1
399,250,1
449,342,1
467,337,1
492,349,1
448,363,1
460,354,1
463,370,1
484,366,1
475,351,1
399,413,1
391,436,1
440,470,1
496,488,1
527,283,1
543,261,1
552,254,1
548,243,1
567,243,1
562,274,1
563,253,1
579,240,1
570,226,1
559,333,1
548,343,1
545,353,1
595,375,1
602,355,1
564,426,1
584,425,1
593,439,1
595,454,1
588,465,1
607,458,1
621,482,1
611,490,1
619,466,1
630,455,1
636,432,1
639,489,1
667,500,1
663,491,1
671,486,1
673,494,1
682,511,1
700,506,1
691,485,1
698,465,1
696,450,1
727,459,1
739,475,1
754,481,1
778,441,1
741,407,1
668,378,1
688,320,1
735,310,1
746,324,1
784,329,1
793,334,1
783,380,1
693,359,1
432,367,1
436,384,1
447,393,1
457,395,1
467,386,1
482,384,1
504,382,1
506,388,1
507,404,1
489,404,1
502,413,1
490,423,1
481,411,1
465,411,1
472,398,1
506,368,1
476,419,1
417,560,1
390,530,1
456,540,1
456,530,1
411,487,1
397,493,1
388,498,1
374,510,1
377,490,1
386,486,1
363,478,1
