X,Y,Z
190,73,1
199,82,1
207,92,1
218,64,1
222,78,1
229,69,1
266,185,1
282,192,1
293,199,1
290,212,1
279,206,1
277,221,1
260,219,1
249,212,1
249,229,1
254,245,1
236,181,1
231,163,1
239,158,1
243,149,1
208,172,1
202,159,1
192,153,1
174,153,1
156,156,1
165,171,1
154,141,1
165,137,1
150,132,1
142,140,1
190,198,1
195,180,1
187,218,1
183,246,1
189,253,1
175,260,1
157,267,1
176,283,1
202,300,1
204,288,1
158,238,1
145,219,1
151,209,1
144,197,1
134,176,1
138,232,1
126,244,1
113,237,1
104,225,1
92,210,1
88,219,1
99,203,1
89,197,1
94,188,1
82,187,1
74,210,1
74,196,1
64,220,1
76,235,1
76,251,1
40,214,1
133,80,1
127,91,1
121,76,1
112,68,1
130,63,1
122,55,1
136,44,1
142,58,1
115,42,1
105,44,1
92,49,1
107,56,1
106,78,1
90,83,1
71,58,1
52,63,1
88,143,1
90,133,1
81,146,1
67,135,1
75,128,1
67,122,1
68,112,1
77,117,1
40,133,1
22,134,1
28,153,1
42,144,1
55,151,1
39,158,1
48,163,1
57,171,1
9,163,1
3,189,1
26,200,1
5,90,1
26,26,1
19,15,1
16,26,1
9,7,1
32,18,1
49,18,1
65,17,1
34,38,1
25,47,1
17,51,1
16,42,1
5,31,1
1,23,1
18,5,1
23,235,1
23,252,1
8,247,1
3,269,1
17,270,1
25,285,1
17,299,1
55,304,1
102,297,1
101,310,1
84,308,1
117,315,1
123,334,1
144,333,1
139,349,1
151,357,1
158,347,1
173,352,1
157,364,1
145,381,1
141,370,1
130,375,1
115,370,1
120,383,1
130,386,1
117,393,1
108,384,1
99,397,1
113,404,1
123,414,1
129,401,1
139,403,1
138,418,1
154,408,1
153,421,1
156,397,1
160,383,1
177,389,1
185,378,1
188,361,1
173,372,1
195,387,1
188,402,1
171,419,1
173,432,1
186,412,1
201,411,1
203,402,1
210,411,1
204,424,1
217,424,1
220,432,1
228,415,1
240,410,1
231,399,1
249,414,1
244,397,1
255,425,1
256,443,1
245,446,1
246,430,1
216,400,1
216,466,1
72,388,1
65,374,1
85,389,1
97,365,1
31,395,1
20,406,1
14,390,1
19,379,1
26,361,1
35,413,1
191,291,1
212,443,1
253,469,1
233,437,1
270,432,1
257,342,1
268,390,1
221,324,1
261,320,1
263,300,1
273,282,1
294,268,1
302,268,1
298,281,1
316,273,1
322,265,1
331,254,1
322,290,1
311,299,1
304,309,1
313,311,1
313,321,1
308,343,1
301,349,1
317,415,1
317,386,1
347,329,1
346,288,1
361,285,1
372,276,1
379,242,1
361,233,1
332,233,1
331,224,1
342,220,1
338,199,1
353,201,1
296,154,1
312,153,1
271,122,1
282,111,1
268,103,1
263,96,1
259,74,1
270,89,1
263,83,1
247,80,1
244,92,1
286,87,1
276,78,1
270,65,1
284,64,1
290,53,1
301,55,1
303,46,1
315,58,1
318,48,1
319,36,1
326,98,1
313,99,1
295,90,1
302,84,1
311,76,1
326,69,1
336,78,1
333,90,1
343,92,1
338,101,1
351,102,1
359,95,1
352,76,1
338,59,1
336,49,1
349,39,1
340,31,1
328,28,1
347,27,1
353,17,1
366,16,1
355,55,1
377,21,1
369,65,1
378,74,1
371,94,1
369,106,1
381,99,1
390,90,1
404,87,1
397,65,1
381,59,1
391,53,1
381,46,1
407,47,1
388,6,1
349,116,1
415,119,1
407,97,1
426,85,1
441,101,1
434,112,1
431,99,1
426,108,1
405,146,1
387,149,1
397,160,1
418,163,1
411,183,1
399,194,1
448,225,1
467,213,1
478,219,1
482,204,1
489,226,1
488,239,1
465,241,1
451,250,1
434,254,1
416,258,1
440,269,1
456,271,1
462,257,1
467,270,1
481,261,1
486,279,1
481,291,1
493,290,1
514,289,1
526,295,1
546,295,1
552,281,1
544,266,1
564,293,1
591,287,1
459,144,1
512,137,1
508,93,1
499,82,1
444,60,1
452,94,1
441,44,1
448,35,1
486,51,1
551,92,1
546,115,1
561,110,1
542,102,1
554,123,1
554,142,1
579,63,1
591,66,1
597,55,1
590,41,1
611,46,1
591,24,1
548,15,1
534,21,1
637,18,1
644,57,1
657,67,1
670,57,1
678,46,1
671,37,1
665,3,1
641,5,1
642,97,1
630,98,1
614,101,1
599,95,1
605,115,1
615,122,1
567,197,1
580,201,1
593,200,1
593,185,1
608,188,1
605,200,1
613,206,1
612,219,1
602,221,1
621,232,1
668,207,1
666,175,1
633,153,1
623,151,1
620,171,1
680,137,1
685,186,1
684,199,1
689,215,1
707,212,1
710,203,1
727,206,1
727,217,1
735,194,1
722,179,1
769,187,1
737,235,1
745,247,1
734,267,1
723,270,1
725,285,1
739,280,1
750,281,1
716,292,1
712,307,1
698,310,1
701,296,1
687,293,1
678,282,1
658,304,1
639,306,1
643,317,1
714,317,1
728,317,1
742,313,1
735,331,1
701,329,1
703,344,1
723,371,1
737,381,1
530,358,1
533,345,1
521,341,1
499,323,1
552,345,1
550,359,1
565,368,1
565,352,1
587,351,1
577,374,1
604,359,1
609,351,1
627,359,1
657,391,1
662,407,1
502,359,1
509,368,1
500,372,1
501,386,1
504,397,1
493,409,1
486,390,1
490,420,1
509,413,1
509,429,1
511,447,1
493,443,1
485,433,1
475,425,1
449,404,1
459,394,1
466,391,1
464,379,1
449,379,1
442,388,1
433,392,1
430,365,1
417,376,1
405,368,1
404,381,1
399,397,1
411,394,1
412,410,1
386,385,1
391,365,1
370,360,1
432,438,1
422,449,1
412,439,1
406,451,1
402,432,1
392,443,1
370,425,1
365,440,1
352,436,1
357,421,1
345,420,1
336,433,1
349,445,1
368,450,1
369,465,1
381,438,1
398,465,1
394,475,1
395,488,1
402,477,1
415,473,1
418,462,1
408,463,1
385,466,1
385,484,1
387,505,1
378,513,1
391,519,1
403,525,1
406,545,1
417,540,1
398,557,1
391,580,1
375,582,1
385,591,1
370,596,1
365,582,1
415,593,1
402,589,1
399,596,1
416,574,1
434,589,1
450,570,1
484,545,1
475,531,1
459,486,1
428,509,1
445,443,1
529,416,1
545,408,1
561,405,1
557,424,1
576,421,1
557,482,1
573,493,1
554,497,1
575,507,1
586,504,1
586,516,1
580,530,1
559,526,1
566,539,1
568,552,1
539,535,1
546,516,1
546,504,1
520,516,1
532,524,1
515,528,1
620,487,1
632,536,1
644,542,1
648,528,1
657,538,1
671,529,1
669,550,1
680,542,1
677,457,1
686,447,1
673,440,1
664,450,1
649,439,1
632,427,1
623,416,1
710,470,1
737,500,1
725,499,1
724,489,1
712,500,1
710,509,1
711,521,1
722,523,1
742,486,1
753,499,1
754,477,1
