X,Y,Z
333,318,1
346,332,1
363,330,1
372,341,1
358,366,1
347,361,1
340,351,1
325,367,1
321,352,1
303,347,1
288,342,1
288,356,1
317,334,1
321,328,1
347,380,1
333,392,1
355,399,1
364,415,1
377,395,1
399,346,1
399,315,1
391,286,1
435,273,1
469,283,1
464,267,1
482,286,1
493,273,1
541,270,1
562,295,1
568,286,1
583,293,1
597,267,1
593,253,1
630,237,1
541,208,1
510,179,1
481,114,1
503,98,1
513,96,1
570,135,1
625,174,1
610,137,1
626,124,1
615,117,1
625,105,1
610,103,1
620,97,1
623,86,1
633,93,1
625,72,1
612,71,1
601,64,1
584,57,1
588,71,1
604,89,1
585,86,1
574,74,1
568,86,1
595,106,1
591,94,1
595,81,1
670,51,1
671,23,1
682,9,1
742,14,1
538,20,1
477,7,1
459,54,1
445,55,1
434,65,1
434,47,1
434,24,1
419,12,1
404,3,1
383,47,1
363,3,1
318,5,1
302,10,1
339,82,1
328,92,1
325,110,1
313,107,1
320,119,1
312,131,1
304,138,1
306,160,1
295,157,1
322,165,1
313,176,1
302,177,1
327,178,1
326,192,1
343,188,1
310,195,1
328,146,1
352,212,1
352,226,1
338,220,1
340,238,1
324,238,1
326,224,1
315,217,1
304,224,1
300,238,1
286,231,1
277,237,1
268,230,1
259,238,1
252,228,1
256,212,1
285,217,1
288,200,1
236,216,1
233,228,1
211,234,1
203,217,1
202,209,1
195,201,1
202,194,1
192,187,1
221,201,1
210,250,1
190,238,1
190,222,1
167,229,1
171,218,1
154,221,1
157,204,1
171,202,1
176,186,1
162,187,1
174,176,1
158,166,1
144,160,1
142,145,1
147,138,1
126,140,1
131,149,1
144,183,1
138,199,1
135,171,1
124,160,1
114,171,1
101,161,1
91,171,1
67,179,1
92,146,1
90,131,1
105,136,1
116,126,1
126,112,1
97,103,1
129,97,1
120,81,1
129,81,1
139,86,1
156,92,1
155,78,1
146,114,1
246,98,1
244,49,1
235,49,1
178,14,1
51,49,1
150,242,1
137,245,1
156,256,1
163,246,1
172,256,1
161,268,1
145,261,1
135,267,1
149,279,1
155,288,1
172,288,1
154,306,1
144,295,1
131,288,1
131,301,1
121,292,1
116,282,1
109,266,1
98,253,1
99,244,1
110,244,1
74,232,1
24,224,1
11,208,1
228,328,1
212,328,1
205,342,1
217,349,1
212,367,1
223,364,1
232,361,1
187,350,1
233,377,1
220,390,1
208,391,1
235,397,1
154,390,1
147,402,1
75,384,1
60,400,1
43,396,1
32,394,1
26,353,1
19,344,1
68,456,1
78,465,1
89,455,1
101,454,1
122,444,1
404,98,1
417,163,1
400,163,1
416,179,1
431,169,1
445,182,1
438,218,1
427,208,1
419,199,1
401,215,1
500,487,1
511,470,1
520,465,1
532,476,1
534,487,1
520,484,1
546,453,1
613,397,1
622,369,1
651,374,1
670,379,1
685,378,1
702,372,1
676,411,1
661,434,1
693,442,1
709,456,1
722,470,1
732,465,1
776,477,1
767,482,1
775,491,1
763,497,1
776,502,1
753,420,1
778,419,1
709,489,1
701,513,1
698,525,1
712,527,1
695,548,1
689,559,1
672,557,1
666,549,1
682,533,1
678,523,1
687,521,1
681,575,1
647,534,1
602,529,1
620,528,1
596,509,1
578,505,1
462,394,1
440,390,1
367,472,1
365,498,1
396,590,1
335,452,1
312,532,1
297,488,1
279,477,1
274,468,1
261,466,1
266,479,1
272,495,1
265,500,1
279,520,1
226,529,1
219,514,1
212,527,1
201,509,1
161,489,1
229,468,1
230,591,1
21,528,1
120,550,1
184,587,1
