X,Y
574.214,0.929
98.3,2.5
559.3,7.5
614.3,7.5
177.5,9.5
619.3,15.5
159.3,20.5
276.3,21.5
788.3,24.5
305.5,28.5
621.3,29.5
71.3,30.5
284.3,32.5
87.3,33.5
296.3,43.5
136.136,44.591
277.3,47.5
63.167,48.611
470.3,53.5
458.3,54.5
544.3,54.5
50.3,56.5
558.3,61.5
544.3,66.5
53.3,67.5
480.3,68.5
517.3,68.5
465.5,69.5
46.3,74.5
177.833,79.633
528.3,78.5
441.3,79.5
279.3,81.5
229.3,83.5
260.0,83.5
551.3,83.5
289.3,87.5
359.3,89.5
180.333,90.417
210.3,90.5
227.3,93.5
265.3,93.5
196.3,94.5
351.3,97.5
210.0,98.5
335.3,99.5
181.3,101.5
197.3,102.5
357.3,106.5
348.3,109.5
533.3,109.5
166.3,114.5
200.3,116.5
338.3,117.5
353.3,119.5
425.3,119.5
584.3,120.5
596.3,121.5
460.3,122.5
174.3,124.5
218.962,126.346
566.3,125.5
249.3,126.5
551.3,127.5
234.3,131.5
581.3,131.5
188.3,132.5
602.3,132.5
201.227,133.682
422.3,136.5
406.3,137.5
262.3,140.5
200.3,147.5
327.3,147.5
365.3,148.5
442.3,148.5
212.3,149.5
244.3,149.5
397.3,149.5
551.3,150.5
185.5,152.0
573.3,151.5
527.3,152.5
599.3,152.5
422.3,153.5
307.3,155.5
379.3,156.5
38.136,157.409
176.3,157.5
549.3,157.5
207.3,160.5
327.3,163.5
570.3,163.5
392.3,164.5
555.3,170.5
540.3,171.5
362.3,173.5
445.3,173.5
142.3,174.5
227.3,174.5
241.3,175.5
158.3,176.5
336.3,177.5
215.3,183.5
178.3,184.5
551.3,184.5
562.3,184.5
236.3,185.5
326.3,185.5
372.3,185.5
539.3,191.5
248.3,194.5
420.3,194.5
151.0,195.786
514.3,199.5
408.3,202.5
438.3,202.5
459.3,203.5
558.3,204.5
569.3,205.5
385.5,207.5
531.3,207.5
365.3,208.5
479.3,209.5
496.3,209.5
346.3,212.5
517.3,212.5
546.3,213.5
647.3,214.5
503.3,216.5
563.3,217.5
579.3,217.5
535.3,218.5
212.3,222.5
276.3,223.5
330.3,224.5
384.3,224.5
203.3,225.5
307.3,226.5
546.3,226.5
345.3,227.5
588.3,228.5
596.3,229.5
695.3,230.5
578.3,232.5
287.3,233.5
358.3,233.5
417.5,235.5
682.3,237.5
708.3,237.5
312.3,238.5
338.3,239.5
198.3,240.5
388.3,240.5
185.3,242.5
272.3,242.5
398.3,242.5
302.3,244.5
357.3,245.5
586.3,245.5
595.3,245.5
256.3,246.5
665.3,246.5
570.3,247.5
675.3,249.5
227.3,251.5
712.3,252.5
722.3,252.5
737.3,252.5
294.3,253.5
268.3,254.5
345.3,254.5
373.3,254.5
389.3,254.5
700.3,255.5
584.3,256.5
242.3,258.5
304.3,258.5
361.3,260.5
533.3,262.5
386.3,263.5
717.3,265.5
319.3,267.5
708.0,267.5
579.3,270.5
596.3,270.5
233.3,272.5
657.3,272.5
618.3,273.5
260.3,274.5
745.3,274.5
132.3,275.5
305.5,276.5
245.3,279.5
432.3,279.5
563.3,281.5
645.3,281.5
697.214,282.143
604.3,282.5
587.3,283.5
754.3,283.5
273.3,285.5
675.3,285.5
715.3,285.5
627.3,286.5
661.3,287.5
728.3,290.5
740.3,292.5
617.3,300.5
234.3,301.5
571.3,303.5
598.3,303.5
676.3,303.5
523.3,304.5
715.3,304.5
218.3,305.5
637.3,306.5
694.3,306.5
744.3,306.5
328.3,307.5
510.3,307.5
729.3,309.5
244.3,311.5
654.3,311.5
553.3,313.5
538.3,314.5
492.3,315.5
226.3,317.5
334.3,318.5
434.3,318.5
349.3,319.5
597.3,319.5
640.3,320.5
706.3,320.5
670.3,321.5
145.5,322.5
618.3,322.5
460.3,324.5
556.3,325.5
683.3,325.5
471.3,328.5
659.3,331.5
429.3,333.5
442.3,333.5
528.3,334.5
391.3,335.5
546.3,335.5
576.3,335.5
404.3,336.5
707.3,336.5
609.3,339.5
492.3,340.5
636.3,342.5
654.3,343.5
690.214,343.643
531.3,345.5
333.3,347.5
453.3,347.5
623.3,347.5
600.3,348.5
320.3,351.5
512.3,351.5
492.3,357.5
651.3,360.5
345.5,362.5
330.3,362.5
585.3,362.5
390.3,364.5
461.3,366.5
480.3,367.5
364.3,370.5
115.318,377.682
468.3,378.5
384.3,379.5
520.3,393.5
398.3,395.5
447.3,401.5
406.3,404.5
697.3,412.5
430.3,414.5
412.3,419.5
451.3,422.5
489.3,430.5
468.3,436.5
504.3,440.5
451.3,441.5
487.3,449.5
531.3,474.5
432.3,480.5
522.3,489.5
431.3,493.5
507.3,498.5
511.3,515.5
470.3,519.5
477.3,520.5
462.3,529.5
483.3,532.5
472.3,539.5
458.3,545.5
502.3,552.5
467.3,554.5
518.3,554.5
487.3,563.5
422.3,568.5
496.3,570.5
513.3,570.5
468.3,572.5
529.3,572.5
481.3,580.5
465.5,589.5
516.3,589.5
