X,Y
590.3,5.5
565.25,6.833
613.3,13.5
573.214,17.786
774.3,16.5
540.3,22.5
726.3,22.5
758.3,22.5
704.3,30.5
721.3,40.5
581.3,44.5
556.3,46.5
600.3,50.5
426.367,55.033
470.3,60.5
440.136,61.409
584.3,61.5
669.3,69.5
385.3,72.5
350.071,74.714
366.3,73.5
576.3,76.5
625.3,76.5
450.3,77.5
437.3,78.5
724.3,78.5
588.3,80.5
397.611,84.333
745.3,84.5
364.136,85.409
713.3,86.5
564.3,88.5
597.3,88.5
630.3,88.5
789.3,89.5
384.3,90.5
642.3,90.5
356.1,92.1
556.5,93.444
330.3,93.5
732.3,93.5
578.389,96.333
612.3,96.5
125.75,98.562
436.3,97.5
778.3,97.5
789.3,101.5
566.3,109.5
389.3,110.5
40.3,112.5
54.3,112.5
606.3,112.5
176.3,125.5
324.3,125.5
14.3,129.5
424.3,134.5
301.3,136.5
349.3,136.5
32.083,140.167
49.3,141.5
390.3,141.5
733.3,141.5
786.3,142.5
332.3,144.5
156.3,158.5
606.3,158.5
152.3,170.5
170.3,172.5
257.3,176.5
517.3,180.5
577.3,194.5
528.3,196.5
582.3,196.5
633.3,200.5
565.5,202.591
182.3,208.5
532.3,210.5
558.3,210.5
342.3,220.5
573.3,221.5
518.3,224.5
526.3,236.5
754.3,241.5
780.3,244.5
310.577,246.192
490.3,249.5
545.3,254.5
416.3,258.5
318.3,262.5
478.3,266.5
234.417,268.167
582.3,269.5
162.3,270.5
756.3,270.5
252.3,276.5
689.3,277.5
326.147,281.618
186.3,284.5
232.3,285.5
69.3,286.5
52.3,288.5
270.3,288.5
342.3,288.5
118.3,290.5
90.3,293.5
198.3,294.5
281.3,297.5
261.3,298.5
320.417,300.167
41.3,300.5
60.3,300.5
169.3,300.5
236.3,301.5
122.3,306.5
150.3,306.5
221.3,309.5
341.3,310.5
197.3,313.5
526.3,314.5
394.3,322.5
338.3,324.5
673.3,338.5
232.3,341.5
297.3,348.5
496.3,350.5
706.3,361.5
294.3,362.5
274.3,365.5
420.3,366.5
656.3,381.5
148.3,388.5
338.3,390.5
689.3,390.5
725.3,390.5
137.3,394.5
670.3,396.5
65.3,397.5
576.3,400.5
598.3,401.5
49.3,402.5
268.3,406.5
776.3,406.5
134.3,409.5
149.3,412.5
417.3,417.5
698.3,424.5
524.3,426.5
668.3,426.5
641.3,428.5
276.3,429.5
296.3,430.5
430.3,430.5
450.3,432.5
724.3,433.5
157.3,436.5
632.3,438.5
685.3,441.5
672.3,442.5
280.3,445.5
300.3,448.5
714.3,448.5
334.3,450.5
738.3,453.5
486.3,460.5
705.3,461.5
317.3,462.5
468.3,462.5
290.3,466.5
100.3,468.5
324.3,468.5
525.3,468.5
273.3,469.5
258.3,473.5
340.3,474.5
281.5,477.711
305.3,476.5
677.3,476.5
701.3,477.5
486.3,478.5
265.3,480.5
478.3,481.5
326.3,484.5
657.3,488.5
486.3,489.5
201.3,490.5
194.3,508.5
777.3,510.5
478.3,520.5
288.3,522.5
232.3,528.5
249.3,528.5
277.3,528.5
728.3,532.5
466.3,533.5
209.3,538.5
494.3,541.5
188.3,545.5
120.3,548.5
478.3,548.5
564.3,549.5
588.3,549.5
226.3,550.5
605.3,553.5
514.3,554.5
169.3,556.5
209.3,556.5
752.3,558.5
125.324,561.559
566.3,564.5
596.3,564.5
29.3,566.5
618.3,566.5
