X,Y
543.167,16.611
257.5,35.5
561.5,38.5
533.071,47.714
529.5,56.5
215.3,59.5
562.3,59.5
501.3,123.5
509.3,129.5
589.808,132.5
400.417,193.833
576.3,196.5
415.3,206.5
334.417,290.167
94.3,290.5
292.3,292.5
349.643,293.429
139.3,300.5
300.3,300.5
128.3,304.5
579.3,332.5
606.3,338.5
776.3,348.5
534.3,351.5
617.3,354.5
270.3,362.5
138.3,363.5
124.3,369.5
153.3,378.5
610.3,387.5
296.3,442.5
217.3,451.5
201.3,455.5
227.3,457.5
198.3,461.5
250.5,462.5
115.3,464.5
568.3,466.5
668.3,473.5
577.5,490.5
446.3,503.5
113.5,505.5
142.3,507.5
571.3,509.5
246.3,510.5
264.3,512.5
369.5,520.5
403.346,524.038
445.3,525.5
330.136,528.591
390.0,528.5
379.3,532.5
427.3,534.5
436.033,538.367
149.3,540.5
115.3,543.5
447.038,550.346
540.3,552.5
420.3,555.5
512.3,566.5
661.3,566.5
527.136,574.591
