 ,Area,Mean,Min,Max,X,Y
1,10,255,255,255,96.300,19.500
2,10,255,255,255,110.300,39.500
3,11,255,255,255,154.227,56.318
4,10,255,255,255,187.300,61.500
5,10,255,255,255,656.300,77.500
6,11,255,255,255,797.500,86.500
7,10,255,255,255,169.300,97.500
8,10,255,255,255,788.300,108.500
9,10,255,255,255,264.300,110.500
10,10,255,255,255,768.300,116.500
11,14,255,255,255,750.429,122.143
12,10,255,255,255,340.300,123.500
13,10,255,255,255,795.300,123.500
14,9,255,255,255,769.500,133.500
15,10,255,255,255,276.300,134.500
16,10,255,255,255,285.300,144.500
17,10,255,255,255,625.300,158.500
18,10,255,255,255,681.300,165.500
19,10,255,255,255,45.300,167.500
20,10,255,255,255,316.300,173.500
21,10,255,255,255,290.300,183.500
22,10,255,255,255,312.300,183.500
23,10,255,255,255,692.300,184.500
24,10,255,255,255,670.300,188.500
25,10,255,255,255,186.300,191.500
26,10,255,255,255,198.300,191.500
27,11,255,255,255,280.136,195.409
28,10,255,255,255,296.300,198.500
29,10,255,255,255,307.300,200.500
30,10,255,255,255,797.300,201.500
31,12,255,255,255,196.583,205.750
32,11,255,255,255,756.136,207.409
33,14,255,255,255,294.000,212.214
34,10,255,255,255,184.300,216.500
35,10,255,255,255,290.300,218.500
36,10,255,255,255,400.300,230.500
37,10,255,255,255,717.300,243.500
38,9,255,255,255,705.500,246.500
39,10,255,255,255,610.300,249.500
40,10,255,255,255,733.300,254.500
41,10,255,255,255,377.300,257.500
42,10,255,255,255,687.300,257.500
43,10,255,255,255,749.300,257.500
44,10,255,255,255,787.300,257.500
45,10,255,255,255,486.300,262.500
46,10,255,255,255,611.300,263.500
47,10,255,255,255,717.300,263.500
48,10,255,255,255,688.300,266.500
49,10,255,255,255,293.300,271.500
50,10,255,255,255,430.300,271.500
51,10,255,255,255,474.300,271.500
52,10,255,255,255,599.300,272.500
53,10,255,255,255,583.300,276.500
54,10,255,255,255,485.300,281.500
55,10,255,255,255,591.300,282.500
56,10,255,255,255,572.300,283.500
57,10,255,255,255,228.300,302.500
58,10,255,255,255,212.300,303.500
59,10,255,255,255,590.300,303.500
60,10,255,255,255,307.300,307.500
61,10,255,255,255,221.300,314.500
62,10,255,255,255,200.300,316.500
63,10,255,255,255,584.300,317.500
64,10,255,255,255,627.300,317.500
65,10,255,255,255,603.300,319.500
66,10,255,255,255,515.300,323.500
67,10,255,255,255,201.300,326.500
68,11,255,255,255,553.318,329.318
69,10,255,255,255,423.300,333.500
70,10,255,255,255,48.300,334.500
71,11,255,255,255,546.227,337.318
72,10,255,255,255,301.300,340.500
73,10,255,255,255,525.300,350.500
74,10,255,255,255,540.300,350.500
75,10,255,255,255,494.300,363.500
76,10,255,255,255,539.300,368.500
77,10,255,255,255,511.300,369.500
78,10,255,255,255,651.300,369.500
79,16,255,255,255,399.938,374.125
80,10,255,255,255,579.300,374.500
81,10,255,255,255,523.300,377.500
82,10,255,255,255,325.300,380.500
83,10,255,255,255,726.300,380.500
84,11,255,255,255,342.136,383.409
85,10,255,255,255,266.300,386.500
86,10,255,255,255,530.300,387.500
87,10,255,255,255,653.300,387.500
88,10,255,255,255,315.300,394.500
89,10,255,255,255,585.300,394.500
90,10,255,255,255,599.300,394.500
91,10,255,255,255,390.300,395.500
92,10,255,255,255,407.300,397.500
93,10,255,255,255,523.300,398.500
94,10,255,255,255,347.300,400.500
95,9,255,255,255,577.500,402.500
96,11,255,255,255,328.136,403.409
97,10,255,255,255,296.300,404.500
98,10,255,255,255,312.300,408.500
99,10,255,255,255,370.300,408.500
100,9,255,255,255,417.500,410.500
101,10,255,255,255,715.300,410.500
102,10,255,255,255,584.300,413.500
103,10,255,255,255,659.300,424.500
104,10,255,255,255,707.300,424.500
105,10,255,255,255,639.300,430.500
106,10,255,255,255,581.300,433.500
107,10,255,255,255,785.300,433.500
108,7,255,255,255,798.786,433.500
109,10,255,255,255,398.300,437.500
110,10,255,255,255,637.300,441.500
111,10,255,255,255,687.300,441.500
112,10,255,255,255,434.300,447.500
113,10,255,255,255,477.300,449.500
114,10,255,255,255,400.300,450.500
115,10,255,255,255,419.300,450.500
116,11,255,255,255,725.409,452.318
117,10,255,255,255,735.300,459.500
118,10,255,255,255,780.300,461.500
119,10,255,255,255,731.300,476.500
120,10,255,255,255,647.300,481.500
121,9,255,255,255,545.500,485.500
122,10,255,255,255,738.300,487.500
123,10,255,255,255,474.300,490.500
124,10,255,255,255,660.300,490.500
125,11,255,255,255,670.136,493.409
126,10,255,255,255,750.300,498.500
127,10,255,255,255,504.300,502.500
128,10,255,255,255,568.300,504.500
129,11,255,255,255,756.318,509.318
130,11,255,255,255,615.318,512.318
131,10,255,255,255,559.300,519.500
132,10,255,255,255,615.300,521.500
133,13,255,255,255,755.731,523.731
134,10,255,255,255,633.300,524.500
135,14,255,255,255,768.143,525.786
136,10,255,255,255,771.300,537.500
137,10,255,255,255,761.300,541.500
138,10,255,255,255,661.300,552.500
139,10,255,255,255,698.300,554.500
140,10,255,255,255,746.300,557.500
141,10,255,255,255,708.300,565.500
142,10,255,255,255,748.300,576.500
143,10,255,255,255,692.300,577.500
144,10,255,255,255,727.300,577.500
