X,Y
609.731,59.731
346.3,95.5
357.3,103.5
354.3,117.5
178.3,120.5
83.3,153.5
99.3,153.5
245.3,160.5
71.3,162.5
101.375,168.312
260.3,174.5
94.3,177.5
509.5,191.5
554.318,230.318
188.3,237.5
595.3,239.5
466.3,245.5
581.3,248.5
478.3,254.5
490.3,261.5
573.3,266.5
481.5,275.5
591.3,281.5
3.3,282.5
185.3,285.5
15.3,291.5
481.5,298.5
574.3,301.5
537.3,321.5
76.3,323.5
557.3,326.5
94.3,327.5
512.3,342.5
93.3,346.5
430.3,346.5
421.5,360.25
270.3,365.5
454.0,368.5
394.3,369.5
538.3,369.5
469.3,384.5
466.3,400.5
353.136,401.409
517.3,401.5
535.3,414.5
286.3,417.5
523.667,421.417
279.3,430.5
291.3,430.5
518.3,431.5
761.3,431.5
545.3,433.5
666.3,433.5
529.286,442.143
507.0,444.214
661.962,447.346
640.3,456.5
540.3,465.5
530.3,472.5
583.3,478.5
669.3,479.5
683.3,484.5
551.3,494.5
681.3,501.5
778.3,526.5
