X,Y
245.3,18.5
296.3,25.5
141.3,29.5
79.3,31.5
276.3,33.5
246.3,34.5
143.3,42.5
338.3,59.5
386.3,61.5
216.3,63.5
97.3,83.5
508.3,88.5
319.3,90.5
363.3,92.5
386.3,108.5
97.3,115.5
337.3,120.5
60.3,125.5
388.3,130.5
396.3,151.5
308.3,155.5
101.3,160.5
264.3,163.5
436.3,168.5
406.3,169.5
392.3,174.5
455.3,178.5
708.3,179.5
86.3,182.5
286.3,189.5
330.3,193.5
445.3,193.5
424.3,194.5
475.3,198.5
97.3,199.5
115.3,206.5
526.3,208.5
37.3,209.5
261.3,211.5
77.3,214.5
326.3,215.5
346.3,216.5
35.3,229.5
132.3,231.5
324.3,243.5
479.3,246.5
395.3,256.5
454.3,277.5
691.3,278.5
616.3,279.5
75.3,291.5
299.3,292.5
69.3,297.5
93.3,300.5
513.3,300.5
614.3,301.5
217.3,308.5
95.3,323.5
183.3,334.5
302.3,335.5
492.3,346.5
253.3,350.5
21.3,354.5
291.3,354.5
462.3,394.5
502.3,401.5
161.3,413.5
486.3,418.5
161.3,421.5
462.3,422.5
11.3,448.5
388.3,456.5
498.3,467.5
152.3,470.5
394.3,470.5
138.3,472.5
162.3,472.5
152.3,479.5
144.3,490.5
313.3,507.5
143.3,511.5
386.3,553.5
411.3,560.5
