X,Y
662.136,86.409
604.3,92.5
717.3,100.5
724.3,105.5
386.3,109.5
705.3,113.5
604.3,138.5
442.3,152.5
462.3,154.5
592.3,154.5
576.3,160.5
612.3,162.5
536.3,168.5
465.3,169.5
596.3,169.5
626.3,172.5
432.3,174.5
472.3,177.5
420.3,180.5
697.3,181.5
686.3,192.5
429.3,200.5
596.3,206.5
380.3,210.5
281.3,218.5
9.3,220.5
254.3,222.5
506.3,224.5
654.3,228.5
286.3,232.5
680.3,232.5
589.3,234.5
570.3,241.5
462.3,245.5
286.3,253.5
393.3,254.5
170.3,256.5
149.3,260.5
380.3,261.5
405.3,264.5
177.3,274.5
138.3,277.5
408.3,280.5
176.3,290.5
430.3,292.5
540.3,292.5
561.3,296.5
637.3,297.5
254.3,298.5
584.3,298.5
606.3,301.5
144.3,304.5
169.3,309.5
281.3,310.5
636.3,312.5
616.3,313.5
136.3,318.5
297.3,320.5
554.3,321.5
525.3,324.5
606.3,324.5
289.3,328.5
404.3,334.5
688.3,341.5
673.3,346.5
574.3,350.5
700.3,352.5
609.3,360.5
586.3,364.5
624.3,366.5
304.3,374.5
562.3,374.5
257.3,396.5
546.3,397.5
593.3,400.5
566.3,401.5
236.3,402.5
466.3,408.5
428.3,432.5
484.3,433.5
429.3,442.5
410.3,444.5
509.3,448.5
440.3,452.5
416.3,456.5
686.3,461.5
701.3,469.5
738.3,488.5
352.3,498.5
714.3,520.5
689.3,534.5
740.3,554.5
670.3,556.5
