X,Y
72.3,2.5
403.3,2.5
497.5,2.5
414.3,3.5
248.3,4.5
226.3,6.5
260.3,9.5
123.3,20.5
627.3,20.5
72.3,22.5
30.3,26.5
50.3,26.5
180.3,32.5
308.3,34.5
455.3,34.5
81.5,41.5
31.3,42.5
523.3,43.5
208.3,44.5
369.5,44.5
390.3,46.5
16.3,49.5
188.3,49.5
65.5,51.5
553.3,51.5
507.3,54.5
214.3,55.5
528.3,55.5
227.3,58.5
357.3,59.5
254.3,60.5
204.3,61.5
1.5,62.5
375.3,63.5
391.3,63.5
186.3,65.5
553.3,65.5
569.3,68.5
640.3,68.5
11.3,69.5
252.318,70.318
218.3,72.5
269.3,74.5
235.3,75.5
176.3,76.5
394.3,82.5
577.5,82.5
470.3,85.5
187.3,87.5
13.136,89.409
52.3,89.5
454.3,89.5
592.3,90.5
171.3,92.5
7.3,99.5
186.3,100.5
55.3,103.5
296.3,103.5
446.3,103.5
621.3,112.5
349.3,115.5
281.3,119.5
46.3,121.5
81.5,121.5
339.3,123.5
430.3,123.5
411.3,124.5
199.3,126.5
208.3,126.5
111.167,128.611
629.3,128.5
356.3,132.5
515.3,132.5
536.3,133.5
20.3,135.5
724.038,136.346
190.3,142.5
448.3,145.5
225.5,146.5
279.3,146.5
626.3,146.5
203.3,147.5
493.3,147.5
508.3,148.5
534.3,153.5
731.3,153.5
470.3,154.5
85.3,158.5
520.3,160.5
744.3,160.5
401.3,161.5
552.3,161.5
494.3,166.5
430.3,170.5
213.3,172.5
503.3,174.5
731.3,174.5
411.3,177.5
635.3,179.5
344.3,182.5
101.3,184.5
229.3,184.5
246.3,184.5
615.3,184.5
467.3,191.5
376.3,193.5
615.3,194.5
396.3,195.5
88.3,198.5
130.136,199.409
351.3,200.5
475.3,203.5
197.3,207.5
526.3,207.5
138.3,208.5
153.3,208.5
508.3,211.5
181.3,212.5
402.3,215.5
361.3,216.5
719.3,218.5
157.3,223.5
732.3,223.5
306.3,224.5
389.3,227.5
211.3,228.5
172.3,229.5
796.3,231.5
190.3,233.5
153.3,237.5
245.3,237.5
4.3,239.5
22.3,241.5
789.115,242.577
486.3,242.5
515.3,242.5
222.3,246.5
117.3,249.5
543.3,251.5
788.3,251.5
3.3,254.5
779.3,254.5
24.3,255.5
615.3,256.5
560.3,260.5
657.3,260.5
105.3,262.5
410.3,262.5
608.3,262.5
642.3,264.5
795.3,266.5
624.3,267.5
676.3,270.5
178.3,272.5
116.3,273.5
87.3,274.5
400.3,275.5
417.3,275.5
657.5,276.5
576.3,280.5
676.3,282.5
726.3,284.5
418.3,285.5
34.3,286.5
742.3,288.5
22.3,291.5
90.3,293.5
659.3,299.5
575.3,300.5
794.3,300.5
781.25,301.833
501.3,306.5
733.3,306.5
759.3,307.5
641.5,311.5
749.3,311.5
770.3,313.5
233.3,315.5
565.3,317.5
485.3,319.5
471.3,320.5
288.3,321.5
663.3,321.5
760.3,323.5
626.3,325.5
313.3,326.5
350.3,331.5
14.3,332.5
671.3,332.5
293.3,333.5
284.3,338.5
763.3,338.5
464.3,340.5
775.3,340.5
444.3,342.5
727.3,345.5
397.3,346.5
757.3,351.5
615.3,354.5
239.3,355.5
771.3,355.5
254.3,356.5
640.3,356.5
792.3,356.5
543.3,358.5
715.3,358.5
736.3,358.5
295.3,359.5
620.3,367.5
603.3,369.5
254.3,370.5
775.3,373.5
240.3,374.5
753.5,375.5
538.3,379.5
488.3,380.5
568.3,380.5
157.3,382.5
794.3,382.5
609.3,389.5
240.3,390.5
72.3,392.5
464.3,392.5
213.3,395.5
123.3,396.5
286.3,397.5
152.3,398.5
170.3,398.5
265.3,399.5
601.3,399.5
477.3,400.5
571.3,401.5
491.3,402.5
386.3,403.5
419.3,403.5
622.3,403.5
47.3,404.5
739.3,407.5
553.3,413.5
5.3,414.5
323.3,415.5
637.3,415.5
657.3,416.5
500.3,417.5
174.3,418.5
159.3,419.5
478.3,419.5
608.3,420.5
34.3,423.5
45.3,423.5
646.3,425.5
15.3,426.5
418.3,428.5
226.3,429.5
379.3,429.5
624.3,431.5
97.3,433.5
400.3,433.5
283.3,434.5
59.3,435.5
465.5,436.5
656.3,436.5
643.3,438.5
80.3,442.5
144.3,443.5
395.3,448.5
48.3,449.5
518.3,451.5
668.3,452.5
220.3,453.5
11.3,454.5
446.3,454.5
789.3,455.5
241.3,457.5
552.3,457.5
367.3,458.5
483.3,458.5
178.3,459.5
498.3,461.5
344.3,462.5
15.167,464.611
229.3,464.5
213.3,468.5
434.3,471.5
512.3,474.5
192.3,475.5
489.3,475.5
722.3,477.5
411.3,481.5
225.5,482.5
331.3,486.5
360.3,486.5
345.3,488.5
548.3,488.5
650.3,488.5
464.3,489.5
429.3,490.5
158.3,495.5
449.3,496.5
578.3,497.5
740.3,497.5
666.3,502.5
124.3,507.5
305.5,511.5
432.3,511.5
686.3,511.5
627.3,512.5
755.3,512.5
169.3,513.5
458.3,514.5
738.3,514.5
478.3,515.5
614.3,519.5
478.3,527.5
749.3,530.5
571.3,531.5
639.3,532.5
614.3,533.5
796.3,537.5
280.3,538.5
343.3,543.5
681.3,543.5
501.3,544.5
370.3,548.5
460.3,556.5
382.3,560.5
406.3,562.5
532.3,563.5
674.3,563.5
698.3,567.5
574.3,573.5
545.3,574.5
598.3,574.5
617.3,574.5
645.3,574.5
454.3,577.5
520.3,580.5
351.167,591.389
797.3,591.5
603.3,592.5
778.3,594.5
552.3,595.5
