X,Y
412.3,110.5
640.3,110.5
292.3,113.5
16.3,114.5
314.3,118.5
341.3,118.5
456.3,118.5
268.3,128.5
221.3,132.5
338.3,136.5
497.3,136.5
614.3,137.5
657.3,138.5
449.3,141.5
305.3,142.5
685.3,142.5
752.083,144.75
648.3,145.5
505.3,148.5
718.05,153.55
534.3,154.5
562.3,154.5
69.3,157.5
218.3,160.5
264.3,162.5
604.3,164.5
200.227,168.318
697.5,169.25
332.3,169.5
718.333,170.5
614.3,172.5
596.3,174.5
472.3,176.5
673.3,177.5
14.3,178.5
622.3,181.5
609.3,182.5
580.038,190.346
734.3,193.5
629.3,198.5
304.3,205.5
722.409,213.318
126.577,214.885
770.147,217.5
596.3,217.5
190.269,221.115
276.3,220.5
241.3,222.5
729.3,222.5
406.3,228.5
716.3,230.5
62.3,233.5
417.227,237.682
733.5,238.5
250.3,240.5
364.3,244.5
728.5,248.071
436.3,248.5
477.3,253.5
724.3,256.5
126.062,260.25
609.3,260.5
592.3,261.5
732.3,262.5
112.3,269.5
167.833,270.222
554.3,270.5
349.3,278.5
586.3,280.5
746.3,280.5
85.75,281.875
685.3,281.5
157.3,289.5
473.3,290.5
388.3,293.5
362.318,294.682
514.3,294.5
562.3,294.5
758.3,297.5
434.3,298.5
369.3,304.5
632.3,306.5
17.3,308.5
168.3,309.5
544.3,312.5
561.3,313.5
380.136,314.591
56.3,317.5
765.3,317.5
109.3,318.5
233.3,320.5
136.3,325.5
384.3,326.5
37.3,328.5
504.3,330.5
570.3,333.5
742.1,334.1
790.3,333.5
549.3,334.5
58.3,336.5
166.3,336.5
768.3,336.5
398.3,337.5
756.3,340.5
266.3,341.5
10.3,357.5
90.3,361.5
441.3,362.5
660.3,364.5
404.3,368.5
46.269,376.885
756.136,381.409
536.3,384.5
206.3,386.5
746.3,390.5
126.167,392.25
213.3,396.5
650.3,396.5
709.3,401.5
772.3,401.5
452.3,402.5
477.3,405.5
218.214,407.0
422.3,408.5
788.206,417.618
224.3,417.5
313.3,417.5
264.3,418.5
681.3,420.5
36.3,421.5
322.3,425.5
690.3,428.5
236.136,429.591
569.3,430.5
490.3,433.5
182.3,434.5
245.3,436.5
196.3,437.5
221.3,438.5
401.367,441.9
384.088,446.5
549.3,445.5
697.3,446.5
425.0,461.786
78.3,465.5
593.3,465.5
66.3,468.5
224.3,468.5
612.3,468.5
572.0,469.5
48.3,472.5
634.3,472.5
245.643,473.429
401.643,477.429
82.3,478.5
589.3,481.5
182.643,484.214
564.3,484.5
226.3,486.5
62.3,488.5
713.3,488.5
575.912,492.382
400.3,494.5
693.3,497.5
473.567,502.9
185.3,506.5
205.3,506.5
449.3,506.5
393.929,508.5
518.136,508.591
234.409,510.318
320.3,509.5
248.0,513.214
652.3,512.5
451.808,518.5
322.3,521.5
310.3,529.5
448.409,537.682
306.3,545.5
393.3,548.5
