X,Y
224.3,11.5
403.3,12.5
97.5,14.5
75.3,16.5
48.5,19.5
231.3,26.5
247.3,28.5
205.3,33.5
296.3,34.5
115.3,44.5
456.3,44.5
166.3,46.5
231.3,47.5
197.3,48.5
339.3,54.5
642.3,54.5
328.3,58.5
473.3,65.5
462.3,67.5
508.3,67.5
639.3,71.5
586.3,72.5
119.3,74.5
154.3,74.5
47.3,82.5
469.3,82.5
328.3,90.5
55.3,91.5
456.3,91.5
221.3,93.5
210.3,94.5
40.3,100.5
403.3,103.5
508.3,108.5
721.5,112.5
496.3,113.5
209.3,116.5
431.3,116.5
199.3,119.5
500.3,120.5
160.5,124.5
108.3,126.5
213.3,127.5
168.3,134.5
47.167,135.611
158.3,138.5
77.3,140.5
228.5,142.5
392.3,148.5
308.3,150.5
257.5,154.5
42.3,160.5
702.3,160.5
671.3,161.5
469.3,164.5
97.3,166.5
770.3,168.5
214.3,171.5
317.3,172.5
363.3,172.5
672.3,173.5
434.3,177.5
480.3,177.5
374.3,179.5
115.3,182.5
451.3,188.5
267.3,196.5
443.3,197.5
191.3,198.5
473.3,198.5
272.3,201.5
605.3,201.5
288.3,203.5
171.3,209.5
346.3,210.5
101.3,213.5
464.3,213.5
157.3,215.5
177.3,218.5
44.3,222.5
619.3,222.5
344.3,224.5
260.3,227.5
99.3,228.5
45.227,230.318
241.5,232.5
623.3,234.5
132.3,236.5
73.3,237.5
195.3,238.5
120.136,239.409
336.3,241.5
372.3,241.5
176.3,242.5
264.3,245.5
68.3,246.5
107.3,246.5
52.3,248.5
84.3,249.5
230.3,251.5
272.3,253.5
255.3,255.5
384.3,257.5
403.3,263.5
47.167,264.389
270.3,268.5
231.3,269.5
169.3,271.5
409.3,274.5
193.3,275.5
377.3,275.5
336.5,280.5
176.3,281.5
200.3,282.5
216.3,283.5
427.3,285.5
102.3,289.5
280.0,291.5
741.3,291.5
389.3,293.5
315.3,294.5
789.3,297.5
77.3,301.5
39.3,303.5
65.5,303.5
223.167,304.611
340.3,304.5
121.3,305.5
325.3,305.5
104.3,306.5
305.3,310.5
445.3,310.5
753.3,310.5
326.3,314.5
731.3,314.5
130.3,316.5
81.3,319.5
216.3,319.5
55.3,320.5
740.3,320.5
244.3,325.5
323.3,325.5
284.3,327.5
346.3,327.5
231.3,330.5
745.3,330.5
202.3,333.5
756.3,334.5
485.3,336.5
35.3,338.5
148.3,338.5
92.3,339.5
210.3,340.5
742.3,340.5
27.3,341.5
271.3,345.5
148.3,349.5
476.3,349.5
85.3,351.5
166.3,353.5
372.3,361.5
213.3,364.5
86.3,366.5
681.3,366.5
325.3,370.5
205.3,372.5
372.3,376.5
228.3,377.5
61.3,378.5
268.3,381.5
194.3,382.5
769.5,390.5
173.3,392.5
92.3,394.5
124.3,397.5
51.3,401.5
184.3,403.5
224.5,403.5
62.136,404.591
468.3,404.5
245.3,407.5
237.3,408.5
370.3,408.5
50.136,410.591
124.3,412.5
67.3,413.5
86.3,413.5
116.136,413.409
461.3,421.5
428.3,422.5
50.3,423.5
225.5,423.5
122.3,427.5
84.3,428.5
109.3,428.5
195.3,428.5
578.3,428.5
564.3,430.5
41.3,431.5
205.3,435.5
557.3,438.5
59.3,439.5
146.3,439.5
398.3,442.5
583.3,443.5
99.3,444.5
182.3,444.5
113.3,445.5
571.3,449.5
89.3,450.5
106.3,452.5
204.3,452.5
558.3,460.5
173.3,461.5
606.3,469.5
142.3,471.5
296.3,473.5
229.3,475.5
39.3,476.5
95.3,477.5
323.3,479.5
620.3,479.5
340.3,482.5
208.3,483.5
639.167,483.389
401.3,486.5
42.3,490.5
55.3,490.5
63.3,494.5
164.3,494.5
191.3,494.5
42.3,500.5
313.3,502.5
111.3,505.5
203.3,506.5
139.3,507.5
126.3,510.5
163.5,510.5
48.3,514.5
91.3,518.5
357.3,520.5
125.3,523.5
595.3,523.5
334.3,524.5
37.3,525.5
47.3,527.5
347.3,529.5
151.3,532.5
191.3,532.5
80.5,536.3
62.3,539.5
142.3,539.5
338.3,540.5
237.3,541.5
271.3,541.5
97.3,544.5
52.3,546.5
216.3,546.5
517.3,547.5
79.3,550.5
239.167,551.611
89.3,558.5
110.3,560.5
214.3,561.5
60.3,564.5
380.3,564.5
100.3,565.5
147.3,567.5
77.3,570.5
285.3,573.5
221.3,574.5
58.3,575.5
323.3,578.5
192.3,581.5
308.3,583.5
504.3,583.5
77.3,586.5
60.3,588.5
138.3,588.5
289.3,590.5
