X,Y,Z
10,462,1
11,474,1
26,498,1
11,521,1
48,500,1
38,550,1
33,571,1
53,553,1
100,504,1
778,594,1
787,574,1
772,562,1
759,581,1
787,537,1
787,548,1
796,499,1
794,518,1
778,523,1
9,138,1
12,157,1
39,184,1
42,236,1
50,246,1
38,257,1
43,279,1
59,269,1
64,252,1
76,261,1
80,244,1
95,245,1
110,228,1
122,214,1
89,204,1
100,207,1
96,191,1
109,201,1
112,189,1
98,293,1
121,297,1
123,315,1
85,353,1
71,382,1
121,392,1
123,421,1
116,450,1
97,490,1
111,490,1
119,505,1
126,488,1
133,470,1
145,468,1
99,534,1
92,588,1
215,530,1
210,514,1
208,498,1
138,352,1
143,332,1
151,344,1
167,319,1
175,427,1
192,387,1
206,403,1
226,398,1
235,383,1
206,371,1
210,354,1
196,343,1
197,332,1
214,336,1
182,276,1
191,255,1
197,270,1
206,239,1
218,258,1
236,229,1
232,201,1
251,205,1
215,283,1
215,295,1
243,339,1
246,353,1
262,342,1
279,340,1
293,356,1
281,375,1
319,449,1
340,458,1
358,462,1
371,457,1
250,306,1
269,308,1
284,301,1
276,276,1
399,575,1
410,520,1
408,505,1
383,516,1
358,383,1
372,395,1
404,401,1
423,448,1
439,443,1
460,448,1
469,472,1
478,462,1
487,472,1
467,433,1
480,427,1
462,407,1
452,388,1
431,381,1
413,356,1
424,343,1
440,353,1
316,331,1
335,303,1
305,239,1
319,230,1
317,208,1
349,241,1
376,255,1
389,267,1
404,262,1
401,281,1
392,297,1
399,322,1
361,327,1
231,139,1
243,125,1
247,160,1
252,140,1
271,116,1
264,97,1
245,92,1
239,108,1
222,86,1
247,54,1
177,139,1
186,82,1
200,62,1
162,68,1
164,53,1
155,32,1
209,9,1
107,72,1
60,104,1
294,89,1
314,86,1
323,66,1
312,104,1
332,101,1
340,92,1
322,117,1
341,124,1
380,133,1
397,232,1
410,200,1
423,198,1
446,198,1
445,179,1
463,232,1
482,224,1
429,263,1
425,295,1
446,319,1
456,333,1
465,366,1
473,376,1
482,353,1
482,318,1
514,349,1
511,305,1
526,308,1
540,318,1
540,330,1
551,348,1
550,263,1
494,391,1
490,407,1
503,407,1
517,407,1
525,425,1
544,424,1
548,447,1
542,461,1
544,494,1
571,494,1
494,542,1
573,583,1
604,547,1
578,435,1
588,430,1
611,436,1
630,465,1
636,444,1
647,439,1
664,427,1
681,559,1
693,568,1
698,588,1
724,548,1
727,530,1
736,520,1
756,525,1
748,504,1
734,494,1
763,491,1
765,504,1
781,470,1
792,475,1
559,375,1
572,380,1
606,392,1
588,349,1
575,337,1
601,325,1
595,307,1
624,313,1
633,312,1
633,298,1
637,327,1
660,297,1
634,364,1
631,347,1
530,180,1
517,174,1
507,157,1
511,146,1
521,128,1
530,109,1
519,100,1
477,56,1
478,40,1
522,43,1
524,69,1
537,26,1
531,13,1
547,11,1
579,10,1
576,25,1
570,40,1
597,19,1
604,32,1
585,38,1
594,38,1
570,71,1
556,81,1
569,91,1
539,86,1
561,126,1
559,140,1
563,158,1
614,81,1
608,129,1
643,36,1
709,28,1
689,58,1
686,77,1
709,80,1
706,98,1
706,120,1
677,154,1
663,166,1
652,167,1
664,181,1
560,223,1
586,221,1
598,191,1
605,205,1
619,198,1
622,208,1
621,226,1
618,242,1
610,269,1
638,209,1
659,215,1
663,250,1
692,213,1
714,231,1
718,245,1
673,366,1
673,391,1
692,385,1
676,409,1
685,423,1
690,432,1
705,461,1
719,466,1
707,428,1
728,425,1
745,396,1
748,372,1
751,360,1
760,434,1
778,420,1
726,264,1
739,246,1
723,308,1
745,273,1
763,279,1
729,206,1
763,198,1
790,237,1
745,75,1
726,89,1
737,115,1
747,105,1
747,138,1
738,147,1
766,143,1
772,121,1
785,109,1
769,76,1
535,377,1
