X,Y
405.3,10.5
181.3,17.5
164.3,28.5
180.3,29.5
189.3,36.5
201.3,36.5
428.3,36.5
345.3,40.5
165.3,44.5
318.3,48.5
230.3,52.5
345.3,52.5
160.3,57.5
241.3,57.5
177.3,69.5
266.3,98.5
740.3,118.5
160.3,132.5
374.3,152.5
362.3,162.5
184.3,166.5
160.3,168.5
722.3,170.5
174.3,181.5
362.3,189.5
596.3,196.5
382.3,198.5
345.3,205.5
116.3,216.5
416.3,217.5
125.3,221.5
129.3,232.5
214.3,238.5
132.3,244.5
512.3,244.5
314.3,250.5
224.3,256.5
285.3,257.5
697.3,258.5
138.3,260.5
497.3,262.5
300.3,264.5
442.3,265.5
721.3,265.5
321.3,268.5
548.3,269.5
416.3,270.5
430.3,270.5
126.3,274.5
8.3,276.5
441.3,277.5
406.3,284.5
421.3,285.5
513.3,286.5
646.3,286.5
665.3,288.5
306.3,292.5
708.3,293.5
649.3,296.5
436.3,300.5
73.3,308.5
324.3,309.5
662.3,314.5
336.3,317.5
681.3,318.5
312.3,324.5
694.3,326.5
648.3,330.5
45.3,334.5
130.3,345.5
204.3,346.5
430.3,348.5
537.3,358.5
421.3,360.5
116.3,365.5
625.3,368.5
737.3,368.5
109.3,376.5
385.3,377.5
102.3,381.5
422.3,382.5
666.3,382.5
142.3,384.5
565.3,384.5
161.3,385.5
788.3,385.5
25.3,389.5
80.3,389.5
76.3,401.5
202.3,404.5
212.3,406.5
708.3,409.5
226.3,410.5
173.3,412.5
468.3,417.5
769.3,417.5
37.3,418.5
98.3,418.5
112.3,422.5
236.3,422.5
674.3,422.5
90.3,425.5
574.3,425.5
710.3,425.5
226.3,429.5
137.3,430.5
24.3,437.5
74.3,437.5
38.3,440.5
56.3,442.5
361.3,450.5
704.3,453.5
736.3,453.5
308.3,454.5
277.3,456.5
721.3,458.5
750.3,464.5
300.3,468.5
105.3,469.5
285.3,472.5
193.3,473.5
206.3,476.5
496.3,477.5
553.3,477.5
180.3,482.5
309.3,482.5
196.3,485.5
102.3,492.5
162.3,492.5
58.3,493.5
257.3,493.5
300.3,493.5
617.3,497.5
397.3,501.5
776.3,501.5
265.3,505.5
636.3,505.5
162.3,506.5
769.3,508.5
396.3,513.5
458.3,517.5
226.3,520.5
262.3,520.5
176.3,521.5
756.3,522.5
294.3,526.5
616.3,526.5
480.3,532.5
229.3,533.5
248.3,533.5
548.3,534.5
730.3,536.5
212.3,537.5
709.3,540.5
780.3,540.5
284.3,542.5
744.3,542.5
201.3,544.5
221.3,544.5
516.3,546.5
238.3,553.5
394.3,553.5
78.3,556.5
278.3,558.5
613.3,560.5
524.3,562.5
94.3,564.5
66.3,566.5
130.3,566.5
734.3,566.5
17.3,570.5
84.3,570.5
581.3,570.5
152.3,572.5
270.3,572.5
378.3,573.5
525.3,576.5
92.3,577.5
69.3,582.5
792.3,585.5
236.3,586.5
10.3,588.5
