X,Y
270.389,17.167
288.3,28.0
234.5,47.0
217.5,76.0
594.591,96.864
286.409,115.864
194.5,124.7
266.409,124.864
58.0,128.0
623.409,128.864
549.75,129.833
115.885,131.885
262.409,132.864
555.75,136.833
62.0,138.0
282.409,138.864
200.5,141.7
272.409,147.864
190.5,148.7
221.5,152.7
201.5,153.7
141.682,197.682
434.0,199.0
29.0,200.0
552.682,199.682
6.0,202.0
98.885,201.885
212.5,206.7
403.115,206.885
647.5,207.7
141.682,211.682
713.409,211.864
503.885,212.885
616.5,212.7
56.0,217.0
343.409,216.864
21.0,218.0
425.0,218.0
703.409,217.864
388.115,218.885
477.885,218.885
549.682,218.682
632.5,219.7
228.5,221.7
673.5,221.7
208.5,222.7
279.5,223.7
403.115,224.885
518.682,224.682
447.0,231.0
384.25,232.833
162.682,233.682
741.409,233.864
248.5,236.7
610.5,236.7
746.5,247.7
143.682,248.682
284.5,249.7
532.682,250.682
421.083,251.75
751.318,252.682
487.833,253.75
594.5,254.7
161.682,256.682
637.5,256.7
294.5,257.7
331.5,258.7
459.833,259.75
211.5,260.7
524.682,261.682
280.5,263.7
445.955,264.864
76.833,266.75
171.682,268.682
226.5,268.7
562.682,268.682
419.136,274.591
380.3,275.5
282.5,276.7
492.682,276.682
588.682,276.682
753.3,276.5
201.5,277.7
674.5,277.7
506.682,282.682
684.5,285.5
88.7,288.5
206.5,289.5
35.136,290.591
591.5,290.5
677.5,293.5
407.3,294.5
279.5,295.5
379.3,295.5
432.136,295.591
59.0,296.5
573.7,299.5
79.7,300.5
103.7,300.5
476.7,302.5
603.5,302.5
326.5,304.5
34.136,306.591
57.0,307.5
72.864,310.409
544.7,311.5
341.3,312.5
94.7,313.5
25.136,315.591
709.5,317.5
754.3,318.5
137.7,319.5
297.5,320.5
6.3,322.5
58.864,324.409
79.864,324.409
609.5,324.5
702.5,326.5
215.5,328.5
389.3,328.5
362.3,329.5
202.5,331.5
443.0,331.5
285.5,332.5
711.5,332.5
790.3,332.5
342.3,336.5
562.7,341.5
174.7,342.5
359.3,342.5
413.3,343.5
489.864,344.409
213.5,346.5
553.7,346.5
438.0,347.5
578.7,348.5
230.5,354.5
60.864,355.409
470.864,363.409
216.5,364.5
348.3,366.5
665.5,367.5
621.5,368.5
249.5,369.5
24.136,371.409
294.5,371.5
304.5,371.5
739.3,372.5
190.5,379.5
37.864,381.409
633.5,384.5
362.3,386.5
109.864,387.409
291.5,387.5
104.864,388.409
615.5,388.5
60.864,390.409
561.7,390.5
596.5,390.5
77.864,391.409
271.5,392.5
671.5,396.5
640.5,397.5
392.3,398.5
723.3,398.5
403.3,402.5
448.864,404.409
62.864,405.409
43.864,406.409
621.5,406.5
581.7,407.5
726.3,407.5
661.5,410.5
565.7,413.5
272.5,415.5
343.3,415.5
777.3,415.5
538.7,416.5
248.5,419.5
402.167,420.389
300.5,421.5
416.0,421.3
638.5,421.5
313.5,422.5
49.864,423.409
149.7,423.5
377.3,425.5
596.5,426.5
63.864,427.409
209.5,427.5
107.864,430.409
473.864,433.409
280.5,435.5
162.7,437.5
218.5,438.5
793.167,439.389
319.3,440.5
401.167,441.389
73.864,442.409
180.7,442.5
55.864,443.409
197.5,444.5
296.5,446.5
726.3,447.5
233.5,449.5
631.5,449.5
761.3,449.5
791.167,449.389
555.7,450.5
223.5,453.5
769.3,454.5
273.5,455.5
368.3,457.5
607.5,457.5
629.5,457.5
332.3,458.5
490.864,461.409
749.3,462.5
509.864,463.409
588.5,463.5
771.3,463.5
296.5,464.5
306.5,465.5
533.864,466.409
126.864,467.409
729.3,471.5
455.0,472.3
555.7,473.5
122.864,475.409
582.7,475.5
404.167,479.389
358.3,480.5
421.0,481.3
508.864,481.409
437.0,485.3
469.0,485.3
176.7,489.5
623.5,489.5
547.864,491.409
600.5,491.5
757.2,506.2
685.5,509.3
637.5,515.3
321.5,524.3
374.2,525.2
257.5,529.3
712.5,532.3
648.5,544.3
753.2,548.2
704.5,550.3
376.2,551.2
714.5,552.3
327.389,557.167
735.2,559.2
761.2,565.2
705.5,569.3
218.5,575.3
720.389,585.167
