X,Y
435.318,11.318
396.045,14.136
423.318,23.318
291.5,83.5
83.5,89.5
29.3,93.5
698.7,93.5
273.5,94.5
161.0,95.5
73.5,98.7
715.682,98.682
149.682,100.682
649.5,103.7
89.5,122.7
6.115,128.885
89.409,149.864
228.409,159.864
235.409,160.864
87.409,163.864
313.786,172.0
384.0,174.0
118.786,179.0
322.786,181.0
66.409,181.864
82.5,184.0
170.0,185.0
373.0,185.0
93.5,188.0
134.0,189.0
151.0,189.0
337.0,189.0
118.885,191.115
25.136,196.045
78.5,197.3
323.885,197.115
135.885,200.115
197.0,200.0
180.0,201.0
344.885,207.115
119.833,212.25
180.0,213.0
192.045,216.136
142.885,219.115
347.833,224.25
390.045,233.136
8.2,234.2
321.864,239.409
92.5,244.5
3.3,254.5
17.3,256.5
109.7,257.5
91.5,258.5
272.5,265.5
162.864,268.409
277.5,268.5
242.3,277.5
315.7,278.5
173.0,286.5
236.3,286.5
371.0,287.5
221.3,290.5
61.5,291.5
229.3,298.5
190.136,301.591
419.318,303.682
128.682,306.682
272.5,306.7
283.5,309.7
428.318,310.682
435.5,311.7
70.5,322.7
534.682,322.682
278.5,324.7
433.409,324.864
173.885,329.885
429.409,330.864
395.115,333.885
230.409,334.864
165.885,335.885
406.115,344.885
142.885,345.885
444.409,345.864
172.0,348.0
418.115,347.885
279.409,349.864
241.409,351.864
265.409,351.864
222.115,353.885
408.0,357.0
389.0,359.0
420.115,359.885
173.0,362.0
401.0,362.0
301.654,364.962
240.409,365.864
786.0,367.0
396.0,368.0
166.0,371.0
117.885,372.885
28.136,374.045
300.5,374.0
68.409,375.864
740.0,379.0
786.0,379.0
57.3,386.0
220.136,386.045
786.0,388.0
217.136,402.045
34.318,417.318
226.318,419.318
287.5,419.3
21.318,433.318
135.864,436.409
147.864,436.409
371.864,437.409
20.318,440.318
136.864,445.409
372.864,446.409
35.3,450.5
297.7,463.5
743.864,467.409
754.864,468.409
255.5,470.5
44.3,474.5
368.864,475.409
469.5,475.5
56.5,476.5
488.5,476.5
107.7,477.5
746.864,478.409
457.5,484.5
762.864,487.409
485.5,488.5
475.5,491.5
759.864,495.409
630.318,503.682
209.115,526.885
203.115,536.885
202.115,546.885
219.115,548.885
214.115,549.885
291.409,552.864
308.75,559.833
31.409,560.864
20.115,562.885
144.885,563.885
25.25,565.917
126.885,565.885
44.409,575.864
244.409,576.864
179.0,578.0
235.3,581.0
200.0,589.0
209.0,591.0
