X,Y
394.3,8.5
112.3,14.5
146.3,20.5
298.3,25.5
208.3,32.5
314.3,41.5
476.3,48.5
684.3,50.5
662.3,56.5
296.3,60.5
253.3,62.5
312.3,64.5
329.3,65.5
189.3,68.5
654.3,69.5
320.3,70.5
374.3,70.5
112.3,72.5
421.3,72.5
477.3,76.5
146.3,78.5
301.3,78.5
336.3,81.5
130.3,86.5
654.3,86.5
96.3,89.5
109.3,90.5
401.3,94.5
672.3,97.5
286.3,98.5
142.3,104.5
354.3,104.5
66.3,105.5
94.3,106.5
428.3,106.5
533.3,108.5
685.3,108.5
697.3,109.5
180.3,110.5
677.3,110.5
776.3,116.5
260.3,118.5
282.3,120.5
470.3,120.5
709.3,120.5
150.3,121.5
74.3,124.5
489.3,124.5
784.3,125.5
106.3,128.5
370.3,128.5
316.3,130.5
765.3,130.5
96.3,133.5
290.3,134.5
474.3,134.5
785.3,134.5
78.3,136.5
309.3,138.5
188.3,142.5
108.3,148.5
468.3,148.5
438.3,150.5
354.3,152.5
401.3,153.5
482.3,154.5
460.3,156.5
793.3,157.5
425.3,160.5
532.3,160.5
510.3,161.5
613.3,164.5
210.3,166.5
300.3,168.5
544.3,170.5
728.3,170.5
165.3,172.5
325.3,172.5
189.3,173.5
206.3,177.5
520.3,178.5
221.3,180.5
793.3,180.5
742.3,181.5
556.3,182.5
102.3,184.5
566.3,184.5
450.3,185.5
618.3,185.5
730.3,188.5
201.3,189.5
172.3,190.5
473.3,193.5
593.3,193.5
220.3,197.5
505.3,197.5
42.3,198.5
689.3,198.5
73.3,201.5
189.3,201.5
346.3,202.5
377.3,202.5
396.3,202.5
436.3,204.5
461.3,204.5
209.3,206.5
589.3,206.5
672.3,206.5
161.3,209.5
490.3,209.5
517.3,210.5
386.3,212.5
449.3,212.5
642.3,212.5
757.3,212.5
777.3,212.5
790.3,214.5
480.3,216.5
18.3,217.5
654.3,220.5
369.3,222.5
405.3,222.5
428.3,222.5
453.3,224.5
465.3,226.5
349.3,228.5
152.3,232.5
168.3,234.5
486.3,234.5
72.3,236.5
342.3,237.5
438.3,237.5
504.3,237.5
132.3,238.5
457.3,238.5
776.3,238.5
141.3,245.5
153.3,246.5
772.3,248.5
452.3,250.5
78.3,252.5
253.3,253.5
496.3,253.5
332.3,254.5
480.3,254.5
466.3,256.5
368.3,257.5
512.3,258.5
430.3,261.5
57.3,262.5
100.3,264.5
350.3,264.5
789.3,264.5
314.3,265.5
34.3,268.5
13.3,269.5
464.3,269.5
530.3,269.5
336.3,270.5
496.3,270.5
92.3,274.5
324.3,278.5
80.3,280.5
117.3,280.5
741.3,280.5
481.3,284.5
798.3,284.5
350.3,285.5
384.3,286.5
712.3,286.5
152.3,288.5
406.3,292.5
360.3,294.5
754.3,294.5
242.3,296.5
785.3,297.5
658.3,300.5
253.3,301.5
157.3,302.5
65.3,304.5
390.3,304.5
277.3,308.5
713.3,310.5
753.3,310.5
482.3,312.5
121.3,314.5
392.3,314.5
310.3,316.5
532.3,321.5
577.3,322.5
514.3,324.5
344.3,325.5
381.3,328.5
280.3,329.5
678.3,330.5
428.3,332.5
494.3,333.5
122.3,338.5
508.3,338.5
526.3,338.5
345.3,340.5
680.3,340.5
736.3,344.5
130.3,345.5
329.3,345.5
438.3,349.5
473.3,349.5
148.3,350.5
548.3,350.5
686.3,352.5
666.3,353.5
124.3,356.5
333.3,358.5
493.3,360.5
376.3,361.5
388.3,361.5
734.3,361.5
142.3,362.5
461.3,364.5
558.3,368.5
776.3,370.5
581.3,372.5
746.3,378.5
464.3,380.5
772.3,381.5
600.3,382.5
550.3,384.5
581.3,386.5
112.3,389.5
282.3,389.5
566.3,389.5
693.3,389.5
717.3,389.5
620.3,392.5
736.3,392.5
450.3,393.5
260.3,397.5
606.3,397.5
790.3,400.5
456.3,404.5
318.3,405.5
734.3,405.5
437.3,406.5
716.3,406.5
534.3,408.5
568.3,408.5
282.3,409.5
686.3,409.5
260.3,410.5
590.3,410.5
669.3,410.5
405.3,414.5
549.3,414.5
210.3,416.5
509.3,416.5
318.3,420.5
540.3,420.5
558.3,421.5
172.3,422.5
701.3,425.5
213.3,426.5
360.3,426.5
238.3,428.5
586.3,428.5
569.3,429.5
522.3,430.5
557.3,430.5
634.3,433.5
609.3,436.5
666.3,436.5
224.3,438.5
538.3,438.5
238.3,440.5
576.3,440.5
21.3,445.5
706.3,445.5
628.3,448.5
460.3,449.5
642.3,449.5
206.3,456.5
221.3,456.5
314.3,456.5
450.3,460.5
621.3,466.5
729.3,466.5
220.3,468.5
744.3,472.5
380.3,473.5
597.3,473.5
625.3,478.5
793.3,478.5
602.3,484.5
373.3,485.5
334.3,488.5
412.3,489.5
321.3,493.5
276.3,496.5
628.3,496.5
322.3,506.5
621.3,508.5
586.3,509.5
280.3,510.5
434.3,510.5
517.3,512.5
642.3,516.5
506.3,520.5
621.3,520.5
93.3,524.5
489.3,524.5
701.3,525.5
346.3,526.5
444.3,526.5
512.3,526.5
336.3,529.5
612.3,530.5
584.3,534.5
461.3,536.5
640.3,536.5
674.3,537.5
376.3,538.5
453.3,540.5
356.3,541.5
424.3,542.5
496.3,542.5
518.3,542.5
569.3,546.5
442.3,549.5
704.3,552.5
686.3,553.5
448.3,554.5
420.3,556.5
774.3,556.5
745.3,557.5
549.3,558.5
494.3,562.5
700.3,564.5
716.3,565.5
454.3,566.5
109.3,568.5
466.3,568.5
674.3,569.5
742.3,574.5
649.3,576.5
510.3,578.5
706.3,584.5
106.3,585.5
468.3,586.5
