X,Y
30.0,35.0
299.5,57.7
161.409,64.864
151.5,78.7
131.5,85.7
165.5,87.7
120.5,88.7
147.5,94.7
126.5,102.5
132.5,102.5
129.5,118.5
273.7,120.5
454.864,130.409
268.7,131.5
280.7,158.5
601.0,170.3
289.5,180.3
99.591,215.136
97.5,246.7
458.885,266.885
485.682,266.682
507.5,269.7
645.885,274.885
656.682,276.682
492.682,277.682
277.682,281.682
450.833,281.75
283.682,293.682
462.7,296.5
485.7,305.5
386.3,357.5
371.3,358.5
192.0,423.0
338.409,425.864
323.409,427.864
280.75,431.833
318.409,436.864
339.409,439.864
272.885,440.885
354.409,447.864
261.885,449.885
299.5,450.7
321.5,455.7
227.0,464.0
55.682,477.682
48.682,488.682
38.864,495.591
61.7,497.5
186.3,497.5
688.7,500.5
629.0,503.5
284.7,506.5
638.864,506.409
675.7,506.5
664.7,514.5
633.864,518.409
648.864,518.409
681.7,519.5
320.5,520.5
63.7,526.5
90.7,526.5
611.136,527.409
661.7,528.5
102.5,529.5
79.7,533.5
89.7,536.5
73.7,540.5
95.7,544.5
449.864,547.409
689.7,565.5
