X,Y
198.3,77.5
163.3,79.5
377.3,98.5
20.3,106.5
305.3,112.5
16.5,114.5
23.3,122.5
313.3,125.5
361.3,129.5
241.5,133.5
377.3,135.5
290.3,156.5
281.3,163.5
328.3,170.5
271.3,174.5
293.3,176.5
34.3,189.5
334.3,198.5
12.3,213.5
29.3,222.5
63.167,264.389
41.3,267.5
351.167,272.611
343.3,276.5
76.3,287.5
730.3,288.5
25.3,308.5
39.3,312.5
276.3,312.5
730.3,318.5
76.3,321.5
320.3,330.5
720.3,333.5
282.3,357.5
189.3,367.5
307.3,367.5
317.3,373.5
304.3,381.5
41.3,382.5
195.3,390.5
85.3,392.5
100.3,394.5
43.3,398.5
711.3,398.5
76.3,400.5
26.3,406.5
183.3,409.5
38.3,413.5
174.3,413.5
200.3,417.5
22.3,418.5
776.3,426.5
261.3,429.5
244.3,431.5
169.3,435.5
226.3,437.5
775.3,438.5
565.3,439.5
109.3,443.5
263.3,444.5
97.3,449.5
155.3,450.5
780.3,451.5
379.3,452.5
276.3,453.5
567.3,453.5
208.3,456.5
192.3,459.5
109.3,463.5
267.3,463.5
728.3,472.5
244.3,474.5
504.3,481.5
491.3,484.5
536.3,484.5
628.3,486.5
498.3,488.5
507.3,490.5
522.3,490.5
42.3,497.5
537.3,498.5
369.5,500.5
279.3,501.5
483.3,502.5
343.3,505.5
575.167,505.389
417.5,507.5
75.3,508.5
38.3,510.5
171.3,512.5
596.3,513.5
146.3,514.5
281.3,514.5
167.3,520.5
358.3,521.5
369.3,521.5
577.5,522.5
249.3,523.5
45.3,528.5
459.3,529.5
283.3,533.5
343.3,534.5
453.3,541.5
352.5,556.5
27.3,559.5
574.3,560.5
429.3,562.5
471.3,564.5
400.3,566.5
560.3,566.5
525.3,567.5
115.3,570.5
30.3,576.5
226.3,578.5
354.3,578.5
98.3,580.5
311.3,580.5
334.3,580.5
406.3,580.5
135.3,582.5
235.3,583.5
119.3,584.5
387.3,584.5
50.3,585.5
204.3,585.5
171.3,587.5
76.3,590.5
