X,Y
732.3,33.5
792.3,48.5
346.3,64.5
145.3,66.5
437.3,82.5
306.3,98.5
92.3,100.5
786.3,102.5
144.3,105.5
550.3,105.5
426.3,106.5
310.767,109.567
177.3,110.5
97.3,121.5
77.3,122.5
293.3,130.5
314.3,133.5
412.3,144.5
653.3,146.5
348.3,154.5
622.3,160.5
662.3,177.5
453.3,185.5
436.3,194.5
418.3,197.5
744.3,202.5
41.3,220.5
156.3,220.5
413.3,224.5
689.3,225.5
449.3,244.5
164.3,260.5
206.3,266.5
704.3,274.5
596.3,278.5
280.3,297.5
628.3,298.5
265.3,301.5
614.3,314.5
496.3,330.5
678.3,332.5
474.3,338.5
712.3,346.5
674.3,352.5
142.3,357.5
456.3,360.5
608.3,360.5
702.3,378.5
217.3,380.5
357.3,385.5
573.3,390.5
645.3,394.5
528.3,397.5
233.3,401.5
764.3,406.5
288.3,417.5
536.3,417.5
685.3,430.5
280.3,434.5
558.3,450.5
653.3,468.5
637.3,484.5
650.3,509.5
762.3,574.5
