X,Y
500.5,295.5
566.5,306.5
294.7,307.5
176.7,311.5
145.7,328.5
173.7,332.5
113.864,336.409
103.864,340.409
172.7,341.5
180.7,346.5
223.7,360.5
238.7,361.5
298.7,378.5
283.7,380.5
266.7,385.5
292.7,392.5
171.864,408.409
171.864,414.409
615.5,419.5
319.7,420.5
311.7,421.5
469.5,422.5
349.7,425.5
305.7,428.5
322.7,428.5
594.5,429.5
476.5,435.5
351.7,441.5
528.5,442.5
360.7,444.5
383.5,461.5
408.5,463.5
423.5,463.5
365.5,471.5
319.7,473.5
475.5,475.5
255.864,476.409
488.5,482.5
260.864,486.409
282.864,487.409
486.5,492.5
580.5,503.3
588.5,510.3
473.5,573.3
466.5,576.3
719.2,582.2
478.5,587.3
708.2,587.2
725.2,589.2
