,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss
,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,max,max,max,max,max,max
step,,,,,,,,,,,,,,,,,,
0,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,
6,,,71.56985015869141,0.0,,,,,70.10433197021484,0.0,,,,,72.86248779296875,0.0,,
9,,,,0.0,95.73080596923828,,,,,0.0,95.37307739257812,,,,,0.0,96.08032989501953,
10,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
13,,,65.0849739074707,1.0,,,,,63.532371520996094,1.0,,,,,66.391357421875,1.0,,
19,,,,1.0,84.93252105712891,,,,,1.0,81.6178207397461,,,,,1.0,87.5299072265625,
20,,0.0010000000474974513,81.46401824951172,2.0,,,,0.0010000000474974513,79.44947052001953,2.0,,,,0.0010000000474974513,82.86723327636719,2.0,,
27,,,32.401065063476565,2.0,,,,,31.752792358398438,2.0,,,,,32.855186462402344,2.0,,
29,,,,2.0,69.81062469482421,,,,,2.0,69.27970886230469,,,,,2.0,70.4918212890625,
30,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
34,,,37.66280059814453,3.0,,,,,35.87200927734375,3.0,,,,,40.015499114990234,3.0,,
39,,,,3.0,61.12669830322265,,,,,3.0,57.500423431396484,,,,,3.0,64.74386596679688,
40,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
41,,,25.686019897460938,4.0,,,,,24.935794830322266,4.0,,,,,26.840280532836914,4.0,,
48,,,46.88493728637695,4.0,,,,,44.41051483154297,4.0,,,,,50.82732009887695,4.0,,
49,,,,4.0,54.71700592041016,,,,,4.0,52.99313735961914,,,,,4.0,56.162872314453125,
50,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
55,,,29.80596504211426,5.0,,,,,28.63956069946289,5.0,,,,,31.352853775024414,5.0,,
59,,,,5.0,49.814229583740236,,,,,5.0,47.65846252441406,,,,,5.0,51.37931442260742,
60,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
62,,,55.77305145263672,6.0,,,,,54.01570129394531,6.0,,,,,57.626548767089844,6.0,,
69,,,23.92261657714844,6.0,46.41367645263672,,,,22.18271255493164,6.0,45.28596878051758,,,,25.45191192626953,6.0,47.15837860107422,
70,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
76,,,52.32504119873047,7.0,,,,,46.75513458251953,7.0,,,,,55.60956573486328,7.0,,
79,,,,7.0,45.13052215576172,,,,,7.0,44.05082321166992,,,,,7.0,45.93444061279297,
80,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
83,,,41.83723907470703,8.0,,,,,39.22346115112305,8.0,,,,,44.8336181640625,8.0,,
89,,,,8.0,42.661024475097655,,,,,8.0,42.06521224975586,,,,,8.0,43.53296661376953,
90,,0.0010000000474974513,56.4321174621582,9.0,,,,0.0010000000474974513,54.14069366455078,9.0,,,,0.0010000000474974513,58.17356872558594,9.0,,
97,,,36.328636169433594,9.0,,,,,34.97666931152344,9.0,,,,,36.941837310791016,9.0,,
99,,,,9.0,41.00006866455078,,,,,9.0,40.19857406616211,,,,,9.0,42.3570671081543,
100,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
104,,,34.33021087646485,10.0,,,,,32.547607421875,10.0,,,,,37.39444351196289,10.0,,
109,,,,10.0,38.45661087036133,,,,,10.0,37.722129821777344,,,,,10.0,39.403564453125,
110,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
111,,,31.889080047607422,11.0,,,,,29.14130973815918,11.0,,,,,33.824703216552734,11.0,,
118,,,40.05468215942383,11.0,,,,,37.82261657714844,11.0,,,,,41.94700622558594,11.0,,
119,,,,11.0,38.27302932739258,,,,,11.0,37.71730041503906,,,,,11.0,39.03976821899414,
120,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
125,,,49.73284378051758,12.0,,,,,48.84645080566406,12.0,,,,,50.26484298706055,12.0,,
129,,,,12.0,36.99928207397461,,,,,12.0,36.33404541015625,,,,,12.0,37.85884475708008,
130,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
132,,,58.71052169799805,13.0,,,,,57.08777618408203,13.0,,,,,60.46007537841797,13.0,,
139,,,20.665059280395507,13.0,37.824431610107425,,,,19.22966957092285,13.0,37.20236587524414,,,,23.78705406188965,13.0,39.15755081176758,
140,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
146,,,34.619293975830075,14.0,,,,,32.86981964111328,14.0,,,,,37.95503234863281,14.0,,
149,,,,14.0,39.1291748046875,,,,,14.0,38.61725616455078,,,,,14.0,39.81632614135742,
150,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
153,,,35.02999687194824,15.0,,,,,30.789785385131836,15.0,,,,,37.19118118286133,15.0,,
159,,,,15.0,36.83293151855469,,,,,15.0,36.25251007080078,,,,,15.0,37.24825668334961,
160,,0.0010000000474974513,46.73326721191406,16.0,,,,0.0010000000474974513,44.95478057861328,16.0,,,,0.0010000000474974513,47.895469665527344,16.0,,
167,,,33.58242340087891,16.0,,,,,32.04027557373047,16.0,,,,,35.240867614746094,16.0,,
169,,,,16.0,36.33994598388672,,,,,16.0,35.796905517578125,,,,,16.0,36.888511657714844,
170,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
174,,,28.16279411315918,17.0,,,,,26.155763626098633,17.0,,,,,29.563091278076172,17.0,,
179,,,,17.0,38.65258255004883,,,,,17.0,37.339149475097656,,,,,17.0,40.16328048706055,
180,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
181,,,32.266397857666014,18.0,,,,,30.859134674072266,18.0,,,,,33.92771911621094,18.0,,
188,,,35.68765869140625,18.0,,,,,28.531105041503906,18.0,,,,,40.062355041503906,18.0,,
189,,,,18.0,36.64903335571289,,,,,18.0,35.60158920288086,,,,,18.0,37.95162582397461,
190,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
195,,,24.99822654724121,19.0,,,,,22.84382438659668,19.0,,,,,27.018014907836914,19.0,,
199,,,,19.0,36.65983657836914,,,,,19.0,36.059600830078125,,,,,19.0,37.423858642578125,
200,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
202,,,44.43371810913086,20.0,,,,,42.796966552734375,20.0,,,,,49.73408889770508,20.0,,
209,,,13.905411720275879,20.0,36.28429641723633,,,,12.882355690002441,20.0,35.35078811645508,,,,15.991727828979492,20.0,37.155216217041016,
210,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
216,,,29.10080451965332,21.0,,,,,22.781497955322266,21.0,,,,,32.215721130371094,21.0,,
219,,,,21.0,33.73519287109375,,,,,21.0,32.91499710083008,,,,,21.0,34.86072540283203,
